thêm vào, tăng thêm	additional
địa chỉ, đề địa chỉ	address
đầy, đầy đủ	adequate
tương xứng, thỏa đáng	adequately
sửa lại cho đúng, điều chỉnh	adjust
sự khâm phục,người kp, thán phục	admiration
khâm phục, thán phục	admire
nhận vào, cho vào, kết hợp	admit
nhận làm con nuôi, bố mẹ nuôi	adopt
người lớn, người trưởng thành; trưởng thành	adult
sự tiến bộ, tiến lên; đưa lên, đề xuất	advance
tiên tiến, tiến bộ, cấp cao	advanced
sự thuận lợi, lợi ích, lợi thế	advantage
sự phiêu lưu, mạo hiểm	adventure
báo cho biết, báo cho biết trước	advertise
sự quảng cáo, nghề quảng cáo	advertising
	advertisement
lời khuyên, lời chỉ bảo	advice
khuyên, khuyên bảo, răn bảo	advise
việc	affair
làm ảnh hưởng, tác động đến	affect
	affection
có thể, có đủ khả năng, điều kiện (làm gì)	afford
sợ, sợ hãi, hoảng sợ	afraid
sau, đằng sau, sau khi	after
buổi chiều	afternoon
sau này, về sau, rồi thì, sau đấy	afterwards
lại, nữa, lần nữa	again
chống lại, phản đối	against
tuổi	age
già đi (v)	aged
tác dụng, lực; môi giới, trung gian	agency
đại lý, tác nhân	agent
xâm lược, hung hăng (US: xông xáo)	aggressive
trước đây	ago
đồng ý, tán thành	agree
sự đồng ý, tán thành; hiệp định, hợp đồng	agreement
trước, về phía trước	ahead
sự giúp đỡ; thêm vào, phụ vào	aid
sự nhắm (bắn), mục tiêu, ý định; nhắm, tập trung, hướng vào	aim
không khí, bầu không khí, không gian	air
máy bay, khí cầu	aircraft
sân bay, phi trường	airport
báo động, báo nguy	alarm
làm lo sợ, làm hốt hoảng, làm sợ hãi	alarming
	alarmed
rượu cồn	alcohol
