khác	another
sự trả lời; trả lời	answer
thấy trước, chặn trước, lường trước	anticipate
mối lo âu, sự lo lắng	anxiety
lo âu, lo lắng, băn khoăn	anxious
lo âu, lo lắng, băn khoăn	anxiously
một người, vật nào đó; bất cứ; một chút nào, tí nào	any
người nào, bất cứ ai	anyone
việc gì, vật gì; bất cứ việc gì, vật gì	anything
thế nào cũng được, dù sao chăng nữa	anyway
bất cứ chỗ nào, bất cứ nơi đâu	anywhere
về một bên, qua một bên	apart
ngoài…ra	apart
căn phòng, căn buồng	apartment
xin lỗi, tạ lỗi	apologize
rõ ràng, rành mạch; bề ngoài, có vẻ	apparent
nhìn bên ngoài, hình như	apparently
sự kêu gọi, lời kêu gọi; kêu gọi, cầu khẩn	appeal
xuất hiện, hiện ra, trình diện	appear
sự xuất hiện, sự trình diện	appearance
quả táo	apple
sự gắn vào, vật gắn vào; sự chuyên cần, chuyên tâm	application
gắn vào, ghép vào, áp dụng vào	apply
bổ nhiệm, chỉ định, chọn	appoint
sự bổ nhiệm, người được bổ nhiệm	appointment
thấy rõ; nhận thức	appreciate
đến gần, lại gần; sự đến gần, sự lại gần	approach
thích hợp, thích đáng	appropriate
sự tán thành, đồng ý, sự chấp thuận	approval
tán thành, đồng ý, chấp thuận	approve
tán thành, đồng ý, chấp thuận	approving
giống với, giống hệt với	approximate
khoảng chừng, độ chừng	approximately
tháng Tư	April
diện tích, bề mặt	area
chứng tỏ, chỉ rõ	argue
lý lẽ	argument
xuất hiện, nảy ra, nảy sinh ra	arise
cánh tay; vũ trang, trang bị (vũ khí)	arm
vũ khí, binh giới, binh khí	arms
vũ trang	armed
quân đội	army
xung quanh, vòng quanh	around
sắp xếp, sắp đặt, sửa soạn	arrange
sự sắp xếp, sắp đặt, sự sửa soạn	arrangement
bắt giữ, sự bắt giữ	arrest
sự đến, sự tới nơi	arrival
đến, tới nơi	arrive
tên, mũi tên	arrow
