đám đông	crowd
đông đúc	crowded
vương miện, vua, ngai vàng; đỉnh cao nhất	crown
quyết định, cốt yếu, chủ yếu	crucial
độc ác, dữ tợn, tàn nhẫn	cruel
ép, vắt, đè nát, đè bẹp	crush
khóc, kêu la; sự khóc, tiếng khóc, sự kêu la	cry
(thuộc) văn hóa	cultural
văn hóa, sự mở mang, sự giáo dục	culture
tách, chén	cup
1 loại tủ có ngăn	cupboard
kiềm chế, nén lại, hạn chế	curb
chữa trị, điều trị; cách chữa bệnh, cách điều trị; thuốc	cure
ham muốn, tò mò, lạ lùng	curious
tò mò, hiếu kỳ, lạ kỳ	curiously
quăn, xoắn, uốn quăn, làm xoắn; sự uốn quăn	curl
quăn, xoắn	curly
hiện hành, phổ biến, hiện nay; dòng (nước), luống (gió)	current
hiện thời, hiện nay	currently
màn (cửa, rạp hát, khói, sương)	curtain
đường cong, đường vòng; cong, uốn cong, bẻ cong	curve
cong	curved
phong tục, tục lệ, thói quen, tập quán	custom
khách hàng	customer
thuế nhập khẩu, hải quan	customs
cắt, chặt; sự cắt	cut
chu kỳ, chu trình, vòng; quay vòng theo chu kỳ, đi xe đạp	cycle
sự đi xe đạp	cycling
bố, cha	dad
hàng ngày	daily
mối hạn, điều hại, sự thiệt hại; làm hư hại, làm hỏng, gây thiệt hại	damage
ẩm, ẩm ướt, ẩm thấp	damp
sự nhảy múa, sự khiêu vũ; nhảy múa, khiêu vũ	dance
sự nhảy múa, sự khiêu vũ	dancing
diễn viên múa, người nhảy múa	dancer
sự nguy hiểm, mối hiểm nghèo; nguy cơ, mối đe dọa	danger
nguy hiểm	dangerous
dám, dám đương đầu với; thách	dare
tối, tối tăm; bóng tối, ám muội	dark
số liệu, dữ liệu	data
ngày, kỳ, kỳ hạn, thời kỳ, thời đại; đề ngày tháng, ghi niên hiệu	date
con gái	daughter
ngày, ban ngày	day
chết, tắt	dead
điếc, làm thinh, làm ngơ	deaf
phân phát, phân phối; sự giao dịch, thỏa thuận mua bán	deal
thân, thân yêu, thân mến; kính thưa, thưa	dear
sự chết, cái chết	death
cuộc tranh luận, cuộc tranh cãi; tranh luận, bàn cãi	debate
