giáo sư, giảng viên	professor
thuận lợi, lợi ích, lợi nhuận	profit
chương trình; lên chương trình	program
chương trình	programme
sự tiến tới, sự tiến triển; tiến bộ, tiến triển, phát triển	progress
đề án, dự án, kế hoạch; dự kiến, kế hoạch	project
hứa, lời hứa	promise
thăng chức, thăng cấp	promote
sự thăng chức, sự thăng cấp	promotion
mau lẹ, nhanh chóng; xúi, giục, nhắc nhở	prompt
mau lẹ, ngay lập tức	promptly
tuyên bố, thông báo, phát âm	pronounce
sự phát âm	pronunciation
chứng, chứng cớ, bằng chứng; sự kiểm chứng	proof
đúng, thích đáng, thích hợp	proper
một cách đúng đắn, một cách thích đáng	properly
tài sản, của cải; đất đai, nhà cửa, bất động sản	property
sự cân xứng, sự cân đối	proportion
sự đề nghị, đề xuất	proposal
đề nghị, đề xuất, đưa ra	propose
viễn cảnh, toàn cảnh; triển vọng, mong chờ	prospect
bảo vệ, che chở	protect
sự bảo vệ, sự che chở	protection
sự phản đối, sự phản kháng; phản đối, phản kháng	protest
tự hào, kiêu hãnh	proud
một cách tự hào, một cách hãnh diện	proudly
chứng tỏ, chứng minh	prove
chuẩn bị đầy đủ, dự phòng; cung cấp, chu cấp	provide
với điều kiện là, miễn là	provided
panh (= 0, 58 lít (E);=0, 473 lít (A));	pint
= publicyhouse quán rượu, tiệm rượu	pub
chung, công cộng; công chúng, nhân dân	public
công khai, công cộng	publicly
sự công bố; sự xuất bản	publication
sự công khai, sự quảng cáo	publicity
công bố, ban bố; xuất bản	publish
công việc, nghề xuất bản	publishing
lôi, kéo, giật; sự lôi kéo, sự giật	pull
đấm, thụi; quả đấm, cú thụi	punch
phạt, trừng phạt	punish
sự trừng phạt, sự trừng trị	punishment
học sinh	pupil
sự mua, sự tậu; mua, sắm, tậu	purchase
nguyên chất, tinh khiết, trong lành	pure
hoàn toàn, chỉ là	purely
tía, có màu tía; màu tía	purple
mục đích, ý định	purpose
đuổi theo, đuổi bắt	pursue
