chính xác, đúng	exact
chính xác, đúng đắn	exactly
cường điệu, phóng đại	exaggerate
cường điệu, phòng đại	exaggerated
viết tắt của Examination (xem nghĩa phía dưới)	exam
n. sự thi cử, kỳ thi	examination
thẩm tra, khám xét, hỏi han (thí sinh)	examine
thí dụ, ví dụ	example
xuất sắc, xuất chúng	excellent
trừ ra, không kể; trừ phi	except
sự trừ ra, sự loại ra	exception
trao đổi; sự trao đổi	exchange
kích thích, kích động	excite
hứng thú, thú vị	exciting
bị kích thích, bị kích động	excited
sự kích thích, sự kích động	excitement
ngăn chạn, loại trừ	exclude
ngoài ra, trừ ra	excluding
lời xin lỗi, bào chữa; xin lỗi, tha thứ, tha lỗi	excuse
sự thi hành, chấp hành; (thuộc) sự thi hành, chấp hành	executive
bài tập, sự thi hành, sự thực hiện; làm, thi hành, thực hiện	exercise
trưng bày, triển lãm; vật trưng bày, vật triển lãm	exhibit
cuộc triển lãm, trưng bày	exhibition
tồn tại, sống	exist
sự tồn tại, sự sống	existence
lỗi ra, sự đi ra, thoát ra	exit
mở rộng, phát triển, nở, giãn ra	expand
chờ đợi, mong ngóng; liệu trước	expect
được chờ đợi, được hy vọng	expected
bất ngờ, gây ngạc nhiên	unexpected
bất ngờ, gây ngạc nhiên	unexpectedly
sự mong chờ, sự chờ đợi	expectation
chi phí	expense
đắt	expensive
kinh nghiệm; trải qua, nếm mùi	experience
có kinh nghiệm, từng trải, giàu kinh nghiệm	experienced
cuộc thí nghiệm; thí nghiệm	experiment
chuyên gia; chuyên môn, thành thạo	expert
giải nghĩa, giải thích	explain
sự giải nghĩa, giải thích	explanation
đập tan (hy vọng...), làm nổ, nổ	explode
thăm dò, thám hiểm	explore
sự nổ, sự phát triển ồ ạt	explosion
xuất khẩu; hàng xuất khẩu, sự xuất khẩu	export
trưng bày, phơi bày	expose
diễn tả, biểu lộ, bày tỏ; nhanh, tốc hành	express
sự diễn tả, sự bày tỏ, biểu lộ, sự diễn đạt	expression
giơ, duỗi ra (tay, chân..); kéo dài (thời gian..), dành cho, gửi lời	extend
