bùn	mud
nhân lên, làm tăng lên nhiều lần; sinh sôi nảy nở	multiply
mẹ	mum
tội giết người, tội ám sát; giết người, ám sát	murder
cơ, bắp thịt	muscle
bảo tàng	museum
nhạc, âm nhạc	music
(thuộc) nhạc, âm nhạc; du dương, êm ái	musical
nhạc sĩ	musician
phải, cần, nên làm	must
của tôi	my
tự tôi, chính tôi	myself
thần bí, huyền bí, khó hiểu	mysterious
điều huyền bí, điều thần bí	mystery
móng (tay, chân) móng vuốt	nail
trần, khỏa thân, trơ trụi	naked
tên; đặt tên, gọi tên	name
hẹp, chật hẹp	narrow
dân tộc, quốc gia	nation
(thuộc) quốc gia, dân tộc	national
(thuộc) tự nhiên, thiên nhiên	natural
vốn, tự nhiên, đương nhiên	naturally
tự nhiên, thiên nhiên	nature
hải quân	navy
gần, cận; ở gần	near
gần	nearby
gần, sắp, suýt	nearly
sạch, ngăn nắp; rành mạch	neat
gọn gàng, ngăn nắp	neatly
cần, cần thiết, thiết yếu	necessary
tất yếu, nhất thiết	necessarily
không cần thiết, không mong muốn	unnecessary
cổ	neck
cần, đòi hỏi; sự cần	need
cái kim, mũi nhọn	needle
phủ định	negative
hàng xóm	neighbour
hàng xóm, làng giềng	neighbourhood
không này mà cũng không kia	neither
cháu trai (con anh, chị, em)	nephew
khí lực, thần kinh, can đảm	nerve
hoảng sợ, dễ bị kích thích, hay lo lắng	nervous
bồn chồn, lo lắng	nervously
tổ, ổ; làm tổ	nest
lưới, mạng	net
mạng lưới, hệ thống	network
không bao giờ, không khi nào	never
tuy nhiên, tuy thế mà	nevertheless
mới, mới mẻ, mới lạ	new
mới	newly
tin, tin tức	news
báo	newspaper
sát, gần, bên cạnh; lần sau, tiếp nữa	next
gần	next
đẹp, thú vị, dễ chịu	nice
thú vị, dễ chịu	nicely
cháu gái	niece
đêm, tối	night
không	no
không ai, không người nào	nobody
tiếng ồn, sự huyên náo	noise
ồn ào, huyên náo	noisy
ồn ào, huyên náo	noisily
không ai, không người, vật gì	none
lời nói vô lý, vô nghĩa	nonsense
cũng không	nor
thường, bình thường; tình trạng bình thường	normal
thông thường, như thường lệ	normally
phía bắc, phương bắc	north
Bắc	northern
mũi	nose
không	not
lời ghi, lời ghi chép; ghi chú, ghi chép	note
không gì, không cái gì	nothing
thông báo, yết thị; chú ý, để ý, nhận biết	notice
đáng chú ý, đáng để ý	noticeable
tiểu thuyết, truyện	novel
tháng 11	November
bây giờ, hiện giờ, hiện nay	now
không nơi nào, không ở đâu	nowhere
(thuộc) hạt nhân	nuclear
số	number
y tá	nurse
quả hạch; đầu	nut
vâng lời, tuân theo, tuân lệnh	obey
vật, vật thể; phản đối, chống lại	object
mục tiêu, mục đích; (thuộc) mục tiêu, khách quan	objective
sự quan sát, sự theo dõi	observation
quan sát, theo dõi	observe
đạt được, giành được	obtain
rõ ràng, rành mạch, hiển nhiên	obvious
một cách rõ ràng, có thể thấy được	obviously
dịp, cơ hội	occasion
thỉnh thoảng, đôi khi	occasionally
giữ, chiếm lĩnh, chiếm giữ	occupy
đang sử dụng, đầy (người)	occupied
xảy ra, xảy đến, xuất hiện	occur
đại dương	ocean
đúng giờ	o’clock
tháng 10	October
kỳ quặc, kỳ cục, lẻ (số)	odd
kỳ quặc, kỳ cục, lẻ (số)	oddly
or /əv/ của	of
tắt; khỏi, cách, rời	off
sự vi phạm, sự phạm tội	offence
xúc phạm, làm bực mình, làm khó chịu	offend
sự tấn công, cuộc tấn công	offensive
biếu, tặng, cho; sự trả giá	offer
cơ quan, văn phòng, bộ	office
viên chức, cảnh sát, sĩ quan	officer
(thuộc) chính quyền, văn phòng; viên chức, công chức	official
một cách trịnh trọng, một cách chính thức	officially
thường, hay, luôn	often
chao, ôi chao, chà, này..	oh
dầu	oil
đồng ý, tán thành	OK
già	old
lỗi thời	old-fashioned
trên, ở trên; tiếp tục, tiếp diễn	on
một lần; khi mà, ngay khi, một khi	once
một; một người, một vật nào đó	one
củ hành	onion
chỉ có 1, duy nhất; chỉ, mới	only
về phía trên, lên trên	onto
mở, ngỏ; mở, bắt đầu, khai mạc	open
công khai, thẳng thắn	openly
khe hở, lỗ; sự bắt đầu, sự khai mạc, lễ khánh thành	opening
hoạt động, điều khiển	operate
sự hoạt động, quá trình hoạt động	operation
ý kiến, quan điểm	opinion
địch thủ, đối thủ, kẻ thù	opponent
cơ hội, thời cơ	opportunity
đối kháng, đối chọi, đối lập; chống đối, phản đối	oppose
tính đối kháng, đối chọi	opposing
chống lại, phản đối	opposed
đối nhau, ngược nhau; trước mặt, đối diện; điều trái ngược	opposite
sự đối lập, sự đối nhau; sự chống lại, sự phản đối; phe đối lập	opposition
sự lựa chọn	option
quả cam; có màu da cam	orange
thứ, bậc; ra lệnh	order
thường, thông thường	ordinary
đàn óoc gan	organ
tổ chức, cơ quan; sự tổ chức	organization
tổ chức, thiết lập	organize
có trật tự, ngăn nắp, được sắp xếp, được tổ chức	organized
gốc, nguồn gốc, căn nguyên	origin
(thuộc) gốc, nguồn gốc, căn nguyên; nguyên bản	original
một cách sáng tạo, mới mẻ, độc đáo; khởi đầu, đầu tiên	originally
khác	other
khác, cách khác; nếu không thì...; mặt khác	otherwise
phải, nên, hẳn là	ought
của chúng ta, thuộc chúng ta, của chúng tôi, của chúng mình	our
của chúng ta, thuộc chúng ta, của chúng tôi, của chúng mình	ours
bản thân chúng ta, bản thân chúng tôi, bản thân chúng mình; tự chúng mình	ourselves
ngoài, ở ngoài, ra ngoài	out
ở ngoài trời, ở ngoài nhà	outdoors
ngoài trời, ở ngoài	outdoor
outer ở phía ngoài, ở xa hơn	outer
vẽ, phác tảo; đường nét, hình dáng, nét ngoài	outline
sự sản xuất; sản phẩm, sản lượng	output
bề ngoài, bên ngoài; ở ngoài; ngoài	outside
nổi bật, đáng chú ý; còn tồn lại	outstanding
lò (nướng)	oven
bên trên, vượt qua; lên, lên trên	over
toàn bộ, toàn thể; tất cả, bao gồm	overall
thắng, chiến thắng, khắc phục, đánh bại (khó khăn)	overcome
nợ, hàm ơn; có được (cái gì)	owe
của chính mình, tự mình; nhận, nhìn nhận	own
người chủ, chủ nhân	owner
bước chân, bước	pace
gói, bọc; bó, gói	pack
gói đồ, bưu kiện; đóng gói, đóng kiện	package
bao bì	packaging
gói nhỏ	packet
trang (sách)	page
sự đau đớn, sự đau khổ	pain
đau đớn, đau khổ	painful
sơn, vôi màu; sơn, quét sơn	paint
sự sơn; bức họa, bức tranh	painting
họa sĩ	painter
đôi, cặp	pair
cung điện, lâu đài	palace
taí, nhợt	pale
xoong, chảo	pan
ván ô (cửa, tường), pa nô	panel
quần lót, đùi	pants
giấy	paper
song song, tương đương	parallel
cha, mẹ	parent
công viên, vườn hoa; khoanh vùng thành công viên	park
nghi viện, quốc hội	parliament
phần, bộ phận	part
riêng biệt, cá biệt	particular
một cách đặc biệt, cá biệt, riêng biệt	particularly
đến chừng mực nào đó, phần nào đó	partly
đối tác, cộng sự	partner
sự chung phần, sự cộng tác	partnership
tiệc, buổi liên hoan; đảng	party
qua, vượt qua, ngang qua	pass
sự đi qua, sự trôi qua; thoáng qua, ngắn ngủi	passing
sự đi qua, sự trôi qua; hành lang	passage
hành khách	passenger
hộ chiếu	passport
quá khứ, dĩ vãng; quá, qua	past
đường mòn; hướng đi	path
tính kiên nhẫn, nhẫn nại, kiên trì, sự chịu đựng	patience
bệnh nhân; kiên nhẫn, nhẫn nại, bền chí	patient
mẫu, khuôn mẫu	pattern
tạm nghỉ, dừng; sự tạm nghỉ, sự tạm ngừng	pause
trả, thanh toán, nộp; tiền lương	pay
sự trả tiền, số tiền trả, tiền bồi thường	payment
hòa bình, sự hòa thuận	peace
hòa bình, thái bình, yên tĩnh	peaceful
lưỡi trai; đỉnh, chóp	peak
bút	pen
đồng xu	pence
đồng xu	penny
bút chì	pencil
số tiền	penny
tiền trợ cấp, lương hưu	pension
dân tộc, dòng giống; người	people
hạt tiêu, cây ớt	pepper
cho mỗi	per
phần trăm	per
hoàn hảo	perfect
một cách hoàn hảo	perfectly
biểu diễn; làm, thực hiện	perform
sự làm, sự thực hiện, sự thi hành, sự biểu diễn	performance
người biểu diễn, người trình diễn	performer
có thể, có lẽ	perhaps
kỳ, thời kỳ, thời gian; thời đại	period
lâu dài, vĩnh cửu, thường xuyên	permanent
cách thường xuyên, vĩnh cửu	permanently
sự cho phép, giấy phép	permission
cho phép, cho cơ hội	permit
con người, người	person
cá nhân, tư, riêng tư	personal
đích thân, bản thân, về phần rôi, đối với tôi	personally
nhân cách, tính cách; nhân phẩm, cá tính	personality
thuyết phục	persuade
cơn nóng giận; vật cưng, người được yêu thích	pet
xăng dầu	petrol
tuần trăng; giai đoạn, thời kỳ	phase
triết học, triết lý	philosophy
bản sao chụp; sao chụp	photocopy
ảnh, bức ảnh; chụp ảnh	photograph
thợ chụp ảnh, nhà nhiếp ảnh	photographer
