bỏ, từ bỏ	abandon
bị bỏ rơi, bị ruồng bỏ	abandoned
khả năng, năng lực	ability
có năng lực, có tài	able
không có năng lực, không có tài	unable
khoảng, về	about
ở trên, lên trên	above
ở, ra nước ngoài, ngoài trời	abroad
sự vắng mặt	absence
vắng mặt, nghỉ	absent
tuyệt đối, hoàn toàn	absolute
tuyệt đối, hoàn toàn	absolutely
thu hút, hấp thu, lôi cuốn	absorb
lộng hành, lạm dụng	abuse
thuộc học viện, ĐH, viện hàn lâm	academic
trọng âm, dấu trọng âm	accent
chấp nhận, chấp thuận	accept
có thể chấp nhận, chấp thuận	acceptable
	unacceptable
lối, cửa, đường vào	access
tai nạn, rủi ro	accident
tình cờ, bất ngờ	accidental
tình cờ, ngẫu nhiên	accidentally
sự thích nghi, điều tiết	accommodation
đi theo, đi cùng, kèm theo	accompany
theo, y theo	according
tài khoản, kế toán; tính toán, tính đến	account
đúng đắn, chính xác, xác đáng	accurate
đúng đắn, chính xác	accurately
tố cáo, buộc tội, kết tội	accuse
đạt được, dành được	achieve
thành tích, thành tựu	achievement
axit	acid
công nhận, thừa nhận	acknowledge
dành được, đạt được, kiếm được	acquire
qua, ngang qua	across
hành động, hành vi, cử chỉ, đối xử	act
hành động, hành vi, tác động	action
tích cực hoạt động, nhanh nhẹn	active
	actively
	activity
/'æktris/ diễn viên	actor,
thực tế, có thật	actual
hiện nay, hiện tại	actually
quảng cáo	advertisement
tra, lắp vào	adapt
cộng, thêm vào	add
tính cộng, phép cộng	addition
