nghệ thuật, mỹ thuật	art
bài báo, đề mục	article
nhân tạo	artificial
nhân tạo	artificially
nghệ sĩ	artist
thuộc nghệ thuật, thuộc mỹ thuật	artistic
như (as you know…)	as
ngượng, xấu hổ	ashamed
về một bên, sang một bên	aside
ngoài… ra	apart
hỏi	ask
ngủ, đang ngủ	asleep
vẻ bề ngoài, diện mạo	aspect
giúp, giúp đỡ; tham dự, có mặt	assist
sự giúp đỡ	assistance
người giúp đỡ, người phụ tá; giúp đỡ, phụ tá	assistant
kết giao, liên kết, kết hợp, cho cộng tác	associate
sự kết hợp, sự liên kết	association
mang, khoác, có, lấy (cái vẻ, tính chất…)	assume
đảm bảo, cam đoan	assure
khí quyển	atmosphere
nguyên tử	atom
gắn, dán, trói, buộc	attach
gắn bó	attached
sự tấn công, sự công kích; tấn công, công kích	attack
sự cố gắng, sự thử; cố gắng, thử	attempt
cố gắng, thử	attempted
dự, có mặt	attend
sự chú ý	attention
thái độ, quan điểm	attitude
người được ủy quyền	attorney
hút; thu hút, hấp dẫn	attract
sự hút, sức hút	attraction
hút, thu hút, có duyên, lôi cuốn	attractive
thính, khan giả	audience
tháng Tám	August
cô, dì	aunt
tác giả	author
uy quyền, quyền lực	authority
tự động	automatic
một cách tự động	automatically
mùa thu (US: mùa thu là fall)	autumn
có thể dùng được, có giá trị, hiệu lực	available
trung bình, số trung bình, mức trung bình	average
tránh, tránh xa	avoid
đánh thức, làm thức dậy	awake
