ảnh, hình ảnh	image
tưởng tượng, ảo	imaginary
trí tưởng tượng, sự tưởng tượng	imagination
tưởng tượng, hình dung; tưởng rằng, cho rằng	imagine
lập tức, tức thì	immediate
ngay lập tức	immediately
trái đạo đức, luân lý; xấu xa	immoral
sự và chạm, sự tác động, ảnh hưởng	impact
thiếu kiên nhẫn, nóng vội	impatient
nóng lòng, sốt ruột	impatiently
sự lôi kéo, sự liên can, điều gợi ý	implication
ngụ ý, bao hàm	imply
import sự nhập, sự nhập khẩu; nhập, nhập khẩu	import
sự quan trọng, tầm quan trọng	importance
quan trọng, hệ trọng	important
quan trọng, trọng yếu	importantly
khônh quan trọng, không trọng đại	unimportant
đánh (thuế...), bắt gánh vác; đánh tráo, lợi dụng	impose
không thể làm được, không thể xảy ra	impossible
ghi, khắc, in sâu vào; gây ấn tượng, làm cảm động	impress
được ghi, khắc, in sâu vào	impressed
ấn tượng, cảm giác; sự in, đóng dấu	impression
gấy ấn tượng mạnh; hùng vĩ, oai vệ	impressive
cải thiện, cái tiến, mở mang	improve
sự cái thiện, sự cải tiến, sự mở mang	improvement
ở, tại, trong; vào	in
sự bất lực, bất tài	inability
insơ (đơn vị đo chiều dài Anh bằng 2, 54 cm)	inch
việc xảy ra, việc có liên quan	incident
bao gồm, tính cả	include
bao gồm, kể cả	including
lợi tức, thu nhập	income
or/'inkri:s/ tăng, tăng thêm; sự tăng, sự tăng thêm	increase
tăng thêm	increasingly
thật vậy, quả thật	indeed
sự độc lập, nền độc lập	independence
độc lập	independent
độc lập	independently
chỉ số, sự biểu thị	index
chỉ, cho biết; biểu thị, trình bày ngắn gọn	indicate
sự chỉ, sự biểu thị, sự biểu lộ	indication
gián tiếp	indirect
gián tiếp	indirectly
riêng, riêng biệt; cá nhân	individual
ở trong nhà	indoors
trong nhà	indoor
(thuộc) công nghiệp, kỹ nghệ	industrial
công nghiệp, kỹ nghệ	industry
không thể tránh được, chắc chắn xảy ra; vẫn thường thấy, nghe	inevitable
chắc chắn	inevitably
