nợ	debt
thập kỷ, bộ mười, nhóm mười	decade
tình trạng suy tàn, suy sụp, tình trạng đổ nát	decay
tháng mười hai, tháng Chạp	December
quyết định, giải quyết, phân xử	decide
sự quyết định, sự giải quyết, sự phân xử	decision
tuyên bố, công bố	declare
sự suy tàn, sự suy sụp; suy sụp, suy tàn	decline
trang hoàng, trang trí	decorate
sự trang hoàng, đồ trang hoàng, trang trí	decoration
để trang hoàng, để trang trí, để làm cảnh	decorative
giảm bớt, làm suy giảm, sự giảm đi, sự giảm sút	decrease
sâu, khó lường, bí ẩn	deep
sâu, sâu xa, sâu sắc	deeply
đánh thắng, đánh bại; sự thất bại (1 kế hoạch), sự tiêu tan (hy vọng..)	defeat
cái để bảo vệ, vật để chống đỡ, sự che chở	defence
che chở, bảo vệ, bào chữa	defend
định nghĩa	define
xác định, định rõ, rõ ràng	definite
rạch ròi, dứt khoát	definitely
sự định nghĩa, lời định nghĩa	definition
mức độ, trình độ; bằng cấp; độ	degree
sự chậm trễ, sự trì hoãn, sự cản trở; làm chậm trễ	delay
thận trọng, có tính toán, chủ tâm, có suy nghĩ cân nhắc	deliberate
thận trọng, có suy nghĩ cân nhắc	deliberately
thanh nhã, thanh tú, tế nhị, khó xử	delicate
sự vui thích, sự vui sướng, điều thích thú; làm vui thích, làm say mê	delight
vui mừng, hài lòng	delighted
cứu khỏi, thoát khỏi, bày tỏ, giãi bày	deliver
sự phân phát, sự phân phối, sự giao hàng; sự bày tỏ, phát biếu	delivery
sự đòi hỏi, sự yêu cầu; đòi hỏi, yêu cầu	demand
chứng minh, giải thích; bày tỏ, biểu lộ	demonstrate
nha sĩ	dentist
từ chối, phản đối, phủ nhận	deny
cục, sở, ty, ban, khoa; gian hàng, khu bày hàng	department
sự rời khỏi, sự đi, sự khởi hành	departure
phụ thuộc, tùy thuộc; dựa vào, ỷ vào, trông mong vào	depend
vật gửi, tiền gửi, tiền đặt cọc; gửi, đặt cọc	deposit
làm chán nản, làm phiền muộn; làm suy giảm	depress
làm chán nản làm thát vọng, làm trì trệ	depressing
chán nản, thất vọng, phiền muộn; suy yếu, đình trệ	depressed
chiều sâu, độ dày	depth
nhận được từ, lấy được từ; xuất phát từ, bắt nguồn, chuyển hóa từ (from)	derive
diễn tả, miêu tả, mô tả	describe
sự mô tả, sự tả, sự miêu tả	description
sa mạc; công lao, giá trị; rời bỏ, bỏ trốn	desert
hoang vắng, không người ở	deserted
đáng, xứng đáng	deserve
sự thiết kế, kế hoạch, đề cương. phác thảo; phác họa, thiết kế	design
ước muốn; thèm muốn, ao ước	desire
