rỗng, trống rỗng	hollow
linh thiêng; sùng đạo	holy
nhà; ở tại nhà, nước mình	home
bài tập về nhà (học sinh), công việc làm ở nhà	homework
lương thiện, trung thực, chân thật	honest
lương thiện, trung thực, chân thật	honestly
danh dự, thanh danh, lòng kính trọng	honour
honor of để tỏ lòng tôn kính, trân trọng đối với	in
cái móc; bản lề; lưỡi câu	hook
hy vọng; nguồn hy vọng	hope
(thuộc) chân trời, ở chân trời; ngang, nằm ngang (trục hoành)	horizontal
sừng (trâu, bò...)	horn
điều kinh khủng, sự ghê rợn	horror
ngựa	horse
bệnh viện, nhà thương	hospital
chủ nhà, chủ tiệc; dẫn (c.trình), đăng cai tổ chức (hội nghị....)	host
nóng, nóng bức	hot
khách sạn	hotel
giờ	hour
nhà, căn nhà, toàn nhà	house
nơi ăn chốn ở	housing
hộ, gia đình; (thuộc) gia đình	household
thế nào, như thế nào, làm sao, ra sao	how
tuy nhiên, tuy vậy, dù thế nào	however
to lớn, khổng lồ	huge
(thuộc) con người, loài người	human
hài hước, hóm hỉnh	humorous
sự hài hước, sự hóm hỉnh	humour
đó	hungry
săn, đi săn	hunt
sự đi săn	hunting
sự vội vàng, sự gấp rút	hurry
làm bị thương, gây thiệt hại	hurt
người chồng	husband
băng, nước đá	ice
kem	ice
ý tưởng, quan niệm	idea
(thuộc) quan niệm, tư tưởng; lý tưởng	ideal
lý tưởng, đúng như lý tưởng	ideally
nhận biết, nhận ra, nhận dạng	identify
cá tính, nét nhận dạng; tính đồng nhất, giống hệt	identity
abbr. nghĩa là, tức là ( Id est)	i.e.
nếu, nếu như	if
phớt lờ, tỏ ra không biết đến	ignore
ốm	ill
trái luật, bất hợp pháp	illegal
trái luật, bất hợp pháp	illegally
sự đau yếu, ốm, bệnh tật	illness
minh họa, làm rõ ý	illustrate
