thứ Sáu	Friday
tủ lạnh	fridge
người bạn	friend
thân thiện, thân mật	friendly
không thân thiện, không có thiện cảm	unfriendly
tình bạn, tình hữu nghị	friendship
làm sợ, làm hoảng sợ	frighten
kinh khủng, khủng khiếp	frightening
hoảng sợ, khiếp sợ	frightened
frəm/ từ	from
mặt; đằng trước, về phía trước	front
sự đông lạnh, sự giá lạnh; làm đông, làm đóng băng	freeze
quả, trái cây	fruit
rán, chiên; thịt rán	fry
chất đốt, nhiên liệu	fuel
đầy, đầy đủ	full
đầy đủ, hoàn toàn	fully
sự vui đùa, sự vui thích; hài hước	fun
chức năng; họat động, chạy (máy)	function
kho, quỹ; tài trợ, tiền bạc, để tiền vào công quỹ	fund
cơ bản, cơ sở, chủ yếu	fundamental
lễ tang, đám tang	funeral
buồn cười, khôi hài	funny
bộ da lông thú	fur
đồ đạc (trong nhà)	furniture
tương lai	future
lợi, lợi ích; giành được, kiếm được, đạt tới	gain
Galông 1gl = 4, 54 lít ở Anh, 3, 78 lít ở Mỹ	gallon
đánh bạc; cuộc đánh bạc	gamble
trò cờ bạc	gambling
trò chơi	game
đèo, lỗ hổng, kẽ hở; chỗ trống	gap
nhà để ô tô	garage
lòng, ruột (thú)	garbage
vườn	garden
khí, hơi đốt	gas
dầu lửa, dầu hỏa, xăng	gasoline
cổng	gate
tập hợp; hái, lượm, thu thập	gather
cơ cấu, thiết bị, dụng cụ	gear
chung, chung chung; tổng	general
nói chung, đại thể	generally
sinh, đẻ ra	generate
sự sinh ra, sự phát sinh ra; thế hệ, đời	generation
rộng lượng, khoan hồng, hào phóng	generous
