vi	en
Tình hình thế nào?	 How’s it going?
Tình hình thế nào?	 How are you doing?
Tình hình thế nào?	 How’s life?
Tình hình thế nào?	 How are things?
Bạn đang làm gì đấy?	 What are you up to?
Dạo này bạn làm gì	 What have you been up to?
Làm việc nhiều	 Working a lot
Học nhiều	 Studying a lot
Dạo này tôi rất bận	 I’ve been very busy
Vẫn như mọi khi	 Same as usual
Bạn có kế hoạch gì cho hè này không?	Do you have any plans for the summer?
Bạn có hút thuốc không?	 Do you smoke?
Xin lỗi, tôi không nghe rõ tên bạn	 I’m sorry, I didn’t catch your name
Các bạn có biết nhau trước không?	 Do you know each other?
Các bạn biết nhau trong trường hợp nào?	 How do you know each other?
Chúng tôi làm cùng nhau	 We work together
Chúng tôi đã từng làm cùng nhau	 We used to work together
Chúng tôi đã từng học đại học cùng nhau	 We went to university together
Qua bạn bè	 Through friends
Tôi sinh ra ở Úc nhưng lớn lên ở Anh	 I was born in Australia but grew up in England
Điều gì đã đem bạn đến với nước Anh?	 What brings you to England?
Tôi đi nghỉ	 I’m on holiday
Tôi đi công tác	 I’m on business
Tại sao bạn lại đến nước Anh?	 Why did you come to the UK?
Tôi đến đây làm việc	 I came here to work
Tôi đến đây học	 I came here to study
Tôi muốn sống ở nước ngoài	 I wanted to live abroad
Bạn đã sống ở đây bao lâu rồi?	 How long have you lived here?
Tôi vừa mới đến	 I’ve only just arrived
Vài tháng	 A few months
Khoảng hơn 2 năm	 Just over two years
Bạn định sống ở đây bao lâu?	 How long are you planning to stay here
1 năm nữa	 Another year
Bạn có thích ở đây không?	 Do you like it here?
Mình rất thích	 I like it a lot
Bạn thích ở đây ở điểm nào?	 What do you like about it?
Tôi thích đồ ăn	 I like the food
Tôi thích thời tiết	 I like the weather
Tôi thích con người	 I like the people
Sinh nhật bạn ngày nào	When’s your birthday?
Bạn ở với ai?	 Who do you live with?
Bạn có ở với ai không?	 Do you live with anybody?
Tôi ở với 1 ngừơi bạn	 I live with a friend
Bạn ở 1 mình à	 Do you live on your own?
Mình ở với 1 người nữa	 I share with one other person
Địa chỉ email của bạn là gì?	 What’s your email address?
Cho mình số đt của bạn được không?	 Could i take your phone number?
Bạn có dùng facebook không?	 Are you on Facebook?
Bạn có anh chị em không?	 Do you have any brothers or sisters?
Tôi có một em trai	 Yes, I’ve got a brother.
Không, tôi là con một	 No, I’m an only child
Bạn có con không?	 Do you have any children?
Tôi không có con	 I don’t have any children
Ông/Bà có cháu không	 Do you have any grandchildren?
Bố mẹ bạn còn sống chứ?	 Are your parents still alive?
Bố mẹ bạn sông ở đâu?	 Where do your parents alive?
Bố bạn làm nghề gì?	 What does your father do?
Bạn có bạn trai chưa?	 Do you have a boyfriend?
Bạn có đang hẹn hò với ai không?	 Are you seeing anyone?
Tôi đang hẹn hò.	 I’m seeing someone.
Họ tên gì?	 What are their names?
Họ tên là Neil và Anna	 They’re called Neil and Anna
Anh ấy tên gì?	 What’s his name?
Bạn thích làm gì khi có thời gian rãnh rỗi?	 What do you like doing in your spare time?
Tôi thích nghe nhạc	 I like listening to music
Tôi thích đi chơi	 I love going out
Tôi thích đi du lịch	 I enjoy travelling
Tôi không thích các câu lạc bộ đêm	 I don’t like nightclubs
Tôi quan tâm đến ngôn ngữ	 I’m interested in languages
Gần đây bạn có xem bộ phim nào hay k?	 Have you seen any good films recently
Bạn có chơi môn thể thao nào không	 Do you play any sports?
Có, tôi chơi đá bóng	 Yes, i play football
Bạn cổ vũ đội nào	 Which team do you support?
Tôi cổ vũ MU	 I support Machester United
Bạn có chơi nhạc cụ nào không?	 Do you play any instruments?
Tôi chơi trong ban nhạc	 I’m in a band
Tôi hát trong đội hợp xướng	 I sing in a choir
Bạn thích loại nhạc nào?	 What sort of music do you like?
Nhiều thể loại khác nhau	 Lost of different stuff
Bạn có yêu thích ban nhạc nào không?	 Have you got any favourite bands?
Bạn làm loại công việc gì?	 What sort of work do you do?
Tôi làm nghề lập trình máy tính	 I work as a programer
Bạn làm trong ngành gì	 What line of work are you in?
Tôi làm trong kinh doanh	 I work in sales
Tôi ở nhà trông con	 I stay at home and look after the children
Tôi là nội trợ	 I’m a housewife
Tôi làm việc bán thời gian	 I’ve got a part – time job
Tôi đang thất nghiệp	 I’m unemployed
Tôi đang tìm việc	 I’m looking for work
Tôi vừa bị sa thải	 I’ve been made redundant
Tôi đã nghỉ hưu	 I’m retired
Bạn làm việc cho công ty nào?	 Who do you work for?
Tôi làm việc cho 1 ngân hàng đầu tư	 I work for an investment bank
Tôi tự làm chủ	 I work for myself
Tôi có công ty riêng	 I have my own business
Tôi mới về làm cho công ty IBM	 I’ve just started at IBM
Bạn làm việc ở đâu?	 Where do you work?
Tôi làm việc ở ngân hàng	 I work in a bank
Tôi được đào tạo để trở thành kĩ sư	 I’m training to be an engineer
Tôi là tập sự kế toán	 I’m a trainee accountant
Hiện giờ mình đang tham gia 1 khóa học	 I’m on a course at the moment
Tôi đang đi thực tập	 I’m on work experience
Bạn có phải là sinh viên không?	 Are you a student?
Bạn học ngành gì?	 what do you study?
Tôi học kinh tế	 I’m studying economics
Bạn học ở đâu?	 Where do you study?
Bạn học trường đại học nào?	 Which university are you at?
Tôi học đại học liverpool	 I’m at liverpool university
Bạn học năm thứ mấy?	 Which year are you in?
Tôi học năm cuối	 I’m in my final year
Bạn có kì thi nào sắp tới không?	 Do you have any exams coming up?
Tôi vừa tốt nghiệp	 I’ve just graduated
Bạn có học đại học không?	 Did you go to university?
Trước kia bạn học đại học nào?	 Where did you go to university?
Tôi học cb	 I went to cambridge
Trước kia bạn học ngành gì?	 What did you study?
Bạn còn phải học bao nhiêu năm nữa?	 How many more years do you have to go?
Sau khi học xong ban muốn làm gì?	 What do you want to do when you’ve finished?
Đi làm	 Get a job
Minh chưa biết làm gì khi học xong đại học	 I don’t know what in want to do after university
Bạn theo tôn giáo nào?	 What religion are you?
Tôi theo đạo thiên chúa	 I’m a Christian
Bạn có tin vào chúa không?	 Do you believe in God?
Mình tin vào chúa	 I believe in God
Gần đây có nhà thờ nào không?	 Is there a church near hear?
Anh mua cho em đồ uống gì đó nhé?	 Can I buy you a drink?
Bạn đi 1 mình à?	 Are you on your own?
Bạn có muốn tham gia cùng chúng tôi không?	 Would you like to join us?
Bạn có thường xuyên đến đây không?	 Do you come here often?
Đây có phải lần đầu tiên bạn đến đây không?	 Is this your first time here?
Bạn đến đây bao giờ chưa?	 Have you been here before?
Bạn có muốn nhảy không?	 Would you like to dance?
Bạn có muốn khi nào đó mình đi uống nước k?	 Do you want to go for a drink sometime?
Nếu khi nào bạn muốn gặp tôi thì báo tôi biết nhé !	 If you'd like to meet up sometime, let me know!
Bạn có muốn đi uống cafe với tôi không?	 Would you like to join me for a coffee?
Em có muốn khi nào đó mình đi xem phim k?	 Do you fancy going to see a film sometime?
Nghe hấp dẫn đấy	 That sounds good
Rất tiếc, bạn không phải là mẫu người của tôi !	 Sorry, you're not my type!
Đây là số điện thoại của tôi	 Here's my number
Trông bạn tuyệt lắm	 You look great
Tối nay trông bạn rất tuyệt	 You look very nice tonight
Tôi thích bộ đồ của bạn	 I like your outfit
Trông bạn rất ưa nhìn	 You're really good-looking
Bạn có đôi mắt rất đẹp	 You've got beautiful eyes
Bạn có nụ cười rất đẹp	 You've got a great smile
Cảm ơn vì lời khen	 Thanks for the compliment!
Bạn thấy chỗ này thế nào?	 What do you think of this place?
Chúng ta đi chỗ khác nhé	 Shall we go somewhere else?
Tôi biết một chỗ rất hay	 I know a good place
Tôi có thể hôn bạn được không?	 Can I kiss you?
Tôi đi bộ cùng bạn về nhà được không?	 Can I walk you home?
Tôi có thể lái xe đưa bạn về nhà không?	 Can I drive you home?
Bạn có muốn vào nhà uống tách cafe k?	 Would you like to come in for a coffee?
Cảm ơn, tôi đã có 1 buổi tối rấ tuyệt	 Thanks, I had a great evening
Khi nào tôi có thể gặp lại bạn?	 When can I see you again?
Tôi sẽ gọi cho bạn	 I'll call you
Tôi rất muốn dành thơi gian bên bạn	 I enjoy spending time with you
Tôi thấy bạn rất hấp dẫn	 I find you very attractive
Đồng ý cưới tôi nhé	 Will you marry me?
Tối nay bạn có bận gì không?	 Are you up to anything this evening?
Bạn có kế hoạch gì cho tối nay chưa?	 Have you got any plans for this evening
Tối nay bạn muốn làm gì?	 What would you like to do this evening?
Bạn muốn đi đâu vào cuối tuần này không?	 Do you want to go somewhere at the weekend?
Bạn có muốn đi ăn gì đó với tơi không?	 Would you like to join me for something to eat?
Mấy giờ chúng ta gặp nhau?	 What time shall we meet?
Chúng ta gặp nhau lúc 8 giờ nhé	 Let's meet at 8 o’clock
Bạn muốn gặp nhau ở đâu?	 Where would you like to meet?
Tôi sẽ gặp bạn ở rạp chiếu fim lúc 10 giờ	 I'll see you at the cinema at 10 o'clock
Hẹn gặp bạn ở đó nhé !	 See you there!
