buôn bán, thương mại	commercial
hội đồng, ủy ban, sự ủy nhiệm, sự ủy thác; ủy nhiệm, ủy thác	commission
giao, gửi, ủy nhiệm, ủy thác; tống giam, bỏ tù	commit
sự phạm tội, sự tận tụy, tận tâm	commitment
ủy ban	committee
công, công cộng, thông thường, phổ biến	common
thông thường, bình thường	commonly
truyền, truyền đạt; giao thiệp, liên lạc	communicate
sự giao tiếp, liên lạc, sự truyền đạt, truyền tin	communication
dân chúng, nhân dân	community
công ty	company
so sánh, đối chiếu	compare
sự so sánh	comparison
đua tranh, ganh đua, cạnh tranh	compete
sự cạnh tranh, cuộc thi, cuộc thi đấu	competition
cạnh tranh, đua tranh	competitive
phàn nàn, kêu ca	complain
lời than phiền, than thở; sự khiếu nại, đơn kiện	complaint
hoàn thành, xong;	complete
hoàn thành, đầy đủ, trọn vẹn	completely
phức tạp, rắc rối	complex
làm phức tạp, rắc rối	complicate
phức tạp, rắc rối	complicated
máy tính	computer
tập trung	concentrate
sự tập trung, nơi tập trung	concentration
khái niệm	concept
liên quan, dính líu tới; sự liên quan, sự dính líu tới	concern
có liên quan, có dính líu	concerned
bâng khuâng, ái ngại	concerning
buổi hòa nhạc	concert
kết luận, kết thúc, chấm dứt (công việc)	conclude
sự kết thúc, sự kết luận, phần kết luận	conclusion
bằng bê tông; bê tông	concrete
điều kiện, tình cảnh, tình thế	condition
or/kən'dʌkt/ điều khiển, chỉ đạo, chỉ huy; sự điều khiển, chỉ huy	conduct
hội nghị, sự bàn bạc	conference
lòng tin tưởng, sự tin cậy	confidence
tin tưởng, tin cậy, tự tin	confident
tự tin	confidently
giam giữ, hạn chế	confine
hạn chế, giới hạn	confined
xác nhận, chứng thực	confirm
xung đột, va chạm; sự xung đột, sự va chạm	conflict
đối mặt, đối diện, đối chiếu	confront
làm lộn xộn, xáo trộn	confuse
khó hiểu, gây bối rối	confusing
bối rối, lúng túng, ngượng	confused
sự lộn xộn, sự rối loạn	confusion
