sinh viên	student
xưởng phim, trường quay; phòng thu	studio
sự học tập, sự nghiên cứu; học tập, nghiên cứu	study
chất liệu, chất	stuff
ngu ngốc, ngu đần, ngớ ngẩn	stupid
phong cách, kiểu, mẫu, loại	style
chủ đề, đề tài; chủ ngữ	subject
chất liệu; bản chất; nội dung	substance
thực tế, đáng kể, quan trọng	substantial
về thực chất, về căn bản	substantially
người, vật thay thế; thay thế	substitute
nối tiếp, kế tiếp; kế nghiệp, kế vị	succeed
sự thành công,, sự thành đạt	success
thành công, thắng lợi, thành đạt	successful
thành công, thắng lợi, thành đạt	successfully
không thành công, thất bại	unsuccessful
như thế, như vậy, như là	such
bú, hút; hấp thụ, tiếp thu	suck
thình lình, đột ngột	sudden
thình lình, đột ngột	suddenly
chịu đựng, chịu thiệt hại, đau khổ	suffer
sự đau đớn, sự đau khổ	suffering
(+ for) đủ, thích đáng	sufficient
đủ, thích đáng	sufficiently
đường	sugar
đề nghị, đề xuất; gợi	suggest
sự đề nghị, sự đề xuất, sự khêu gợi	suggestion
bộ com lê, trang phục; thích hợp, quen, hợp với	suit
hợp, phù hợp, thích hợp với	suited
hợp, phù hợp, thích hợp với	suitable
va li	suitcase
tổng, toàn bộ	sum
bản tóm tắt	summary
mùa hè	summer
mặt trời	sun
Chủ nhật	Sunday
cao, chất lượng cao	superior
siêu thị	supermarket
sự cung cấp, nguồn cung cấp; cung cấp, đáp ứng, tiếp tế	supply
sự chống đỡ, sự ủng hộ; chống đỡ, ủng hộ	support
vật chống đỡ; người cổ vũ, người ủng hộ	supporter
cho rằng, tin rằng, nghĩ rằng	suppose
chắc chắn, xác thực	sure
chắc chắn	surely
mặt, bề mặt	surface
họ	surname
sự ngạc nhiên, sự bất ngờ; làm ngạc nhiên, gây bất ngờ	surprise
làm ngạc nhiên, làm bất ngờ	surprising
