rộng lượng, hào phóng	generously
hiền lành, dịu dàng, nhẹ nhàng	gentle
nhẹ nhàng, êm ái, dịu dàng	gently
người quý phái, người thượng lưu	gentleman
thành thật, chân thật; xác thực	genuine
thành thật, chân thật	genuinely
địa lý, khoa địa lý	geography
được, có được	get
người khổng lồ, người phi thường; khổng lồ, phi thường	giant
quà tặng	gift
con gái	girl
bạn gái, người yêu	girlfriend
cho, biếu, tặng	give
vui lòng, sung sướng	glad
kính, thủy tinh, cái cốc, ly	glass
kính đeo mắt	glasses
toàn cầu, toàn thể, toàn bộ	global
bao tay, găng tay	glove
keo, hồ; gắn lại, dán bằng keo, hồ	glue
đậu xanh	gram
đi	go
	goal
thần, Chúa	god
vàng; bằng vàng	gold
tốt, hay, tuyệt; điều tốt, điều thiện	good
tạm biệt; lời chào tạm biệt	goodbye
của cải, tài sản, hàng hóa	goods
cai trị, thống trị, cầm quyền	govern
chính phủ, nội các; sự cai trị	government
thủ lĩnh, chủ; kẻ thống trị	governor
túm lấy, vồ, chộp lấy	grab
điểm, điểm số; phân loại, xếp loại	grade
dần dần, từng bước một	gradual
dần dần, từ từ	gradually
thóc lúa, hạt, hột; tính chất, bản chất	grain
ngữ pháp	gram
văn phạm	grammar
rộng lớn, vĩ đại	grand
cháu (của ông bà)	grandchild
cháu gái	granddaughter
