sự viết	writing
viết ra, được thảo ra	written
người viết	writer
sai	wrong
một cách bất công, không đúng	wrongly
lat, thước Anh (bằng 0, 914 mét)	yard
há miệng; cử chỉ ngáp	yawn
vâng, ừ	yeah
năm	year
vàng; màu vàng	yellow
vâng, phải, có chứ	yes
hôm qua	yesterday
còn, hãy cỏn, còn nữa; như mà, xong, tuy thế, tuy nhiên	yet
anh, chị, ông, bà, ngài, ngươi, mày; các anh, các chị, các ông, các bà, các ngài, các người, chúng mày	you
trẻ, trẻ tuổi, thanh niên	young
của anh, của chị, của ngài, của mày; của các anh, của các chị, của các ngài, của chúng mày	your
cái của anh, cái của chị, cái của ngài, cái của mày; cái của các anh, cái của các chị, cái của các ngài, cái của chúng mày	yours
tự anh, tự chị, chính anh, chính mày, tự mày, tự mình	yourself
tuổi trẻ, tuổi xuân, tuổi thanh niên, tuổi niên thiếu	youth
số không	zero
khu vực, miền, vùng	zone
