vài	several
khắt khe, gay gắt (thái độ, cư xử); giản dị, mộc mạc (kiểu cách, trang phục, dung nhan)	severe
khắt khe, gay gắt (thái độ, cư xử); giản dị, mộc mạc (kiểu cách, trang phục, dung nhan)	severely
may, khâu	sew
sự khâu, sự may vá	sewing
giới, giống	sex
giới tính, các vấn đề sinh lý	sexual
giới tính, các vấn đề sinh lý	sexually
bóng, bóng tối	shade
bóng, bóng tối, bóng râm, bóng mát	shadow
rung, lắc, giũ; sự rung, sự lắc, sự giũ	shake
dự đoán tương lai: sẽ	shall
nông, cạn	shallow
sự xấu hổ, thẹn thùng, sự ngượng	shame
hình, hình dạng, hình thù	shape
có hình dáng được chỉ rõ	shaped
đóng góp, tham gia, chia sẻ; phần đóng góp, phần tham gia, phần chia sẻ	share
sắc, nhọn, bén	sharp
sắc, nhọn, bén	sharply
cạo (râu), bào, đẽo (gỗ)	shave
nó, bà ấy, chị ấy, cô ấy...	she
con cừu	sheep
chăn, khăn trải giường; lá, tấm, phiến, tờ	sheet
kệ, ngăn, giá	shelf
vỏ, mai; vẻ bề ngoài	shell
sự nương tựa, sự che chở, sự ẩn náu; che chở, bảo vệ	shelter
đổi chỗ, dời chỗ, chuyển, giao; sự thay đổi, sự luân phiên	shift
chiếu sáng, tỏa sáng	shine
sáng chói, bóng	shiny
tàu, tàu thủy	ship
áo sơ mi	shirt
sự đụng chạm, va chạm, sự kích động, sự choáng; chạm mạnh, va mạnh, gây sốc	shock
gây ra căm phẫn, tồi tệ, gây kích động	shocking
bị kích động, bị va chạm, bị sốc	shocked
giày	shoe
vụt qua, chạy qua, ném, phóng, bắn; đâm ra, trồi ra	shoot
sự bắn, sự phóng đi	shooting
cửa hàng; đi mua hầng, đi chợ	shop
sự mua sắm	shopping
ngắn, cụt	short
trong thời gian ngắn, sớm	shortly
đạn, viên đạn	shot
nên	should
vai	shoulder
hò hét, reo hò; sự la hét, sự hò reo	shout
biểu diễn, trưng bày; sự biểu diễn, sự bày tỏ	show
vòi hoa sen, sự tắm vòi hoa sen	shower
đóng, khép, đậy; tính khép kín	shut
nhút nhát, e thẹn	shy
ốm, đau, bệnh	sick
