đối tác, cộng sự	partner
sự chung phần, sự cộng tác	partnership
tiệc, buổi liên hoan; đảng	party
qua, vượt qua, ngang qua	pass
sự đi qua, sự trôi qua; thoáng qua, ngắn ngủi	passing
sự đi qua, sự trôi qua; hành lang	passage
hành khách	passenger
hộ chiếu	passport
quá khứ, dĩ vãng; quá, qua	past
đường mòn; hướng đi	path
tính kiên nhẫn, nhẫn nại, kiên trì, sự chịu đựng	patience
bệnh nhân; kiên nhẫn, nhẫn nại, bền chí	patient
mẫu, khuôn mẫu	pattern
tạm nghỉ, dừng; sự tạm nghỉ, sự tạm ngừng	pause
trả, thanh toán, nộp; tiền lương	pay
sự trả tiền, số tiền trả, tiền bồi thường	payment
hòa bình, sự hòa thuận	peace
hòa bình, thái bình, yên tĩnh	peaceful
lưỡi trai; đỉnh, chóp	peak
bút	pen
đồng xu	pence
đồng xu	penny
bút chì	pencil
số tiền	penny
tiền trợ cấp, lương hưu	pension
dân tộc, dòng giống; người	people
hạt tiêu, cây ớt	pepper
cho mỗi	per
phần trăm	per
hoàn hảo	perfect
một cách hoàn hảo	perfectly
biểu diễn; làm, thực hiện	perform
sự làm, sự thực hiện, sự thi hành, sự biểu diễn	performance
người biểu diễn, người trình diễn	performer
có thể, có lẽ	perhaps
kỳ, thời kỳ, thời gian; thời đại	period
lâu dài, vĩnh cửu, thường xuyên	permanent
cách thường xuyên, vĩnh cửu	permanently
sự cho phép, giấy phép	permission
cho phép, cho cơ hội	permit
con người, người	person
cá nhân, tư, riêng tư	personal
đích thân, bản thân, về phần rôi, đối với tôi	personally
nhân cách, tính cách; nhân phẩm, cá tính	personality
thuyết phục	persuade
cơn nóng giận; vật cưng, người được yêu thích	pet
xăng dầu	petrol
tuần trăng; giai đoạn, thời kỳ	phase
triết học, triết lý	philosophy
bản sao chụp; sao chụp	photocopy
