rượu; người nghiện rượu	alcoholic
sống, vẫn còn sống, còn tồn tại	alive
tất cả	all
cho phép, để cho	allow
tốt, ổn, khỏe mạnh; được	all
nước đồng minh, liên minh; liên kết, lien minh, kết thông gia	ally
lien minh, đồng minh, thông gia	allied
hầu như, gần như	almost
cô đơn, một mình	alone
dọc theo, theo; theo chiều dài, suốt theo	along
sát cạnh, kế bên, dọc theo	alongside
lớn tiếng, to tiếng	aloud
bảng chữ cái, bước đầu, điều cơ bản	alphabet
thuộc bảng chứ cái	alphabetical
theo thứ tự abc	alphabetically
đã, rồi, đã… rồi	already
cũng, cũng vậy, cũng thế	also
thay đổi, biến đổi, sửa đổi	alter
sự lựa chọn; lựa chọn	alternative
như một sự lựa chọn	alternatively
mặc dù, dẫu cho	although
hoàn toàn, hầu như; nói chung	altogether
luôn luôn	always
làm ngạc nhiên, làm sửng sốt	amaze
kinh ngạc, sửng sốt	amazing
kinh ngạc, sửng sốt	amazed
hoài bão, khát vọng	ambition
xe cứu thương, xe cấp cứu	ambulance
giữa, ở giữa	among
số lượng, số nhiều; lên tới (money)	amount
làm cho vui, thích, làm buồn cười	amuse
vui thích	amusing
vui thích	amused
phân tích	analyse
sự phân tích	analysis
xưa, cổ	ancient
và	and
sự tức giận, sự giận dữ	anger
góc	angle
giận, tức giận	angry
tức giận, giận dữ	angrily
động vật, thú vật	animal
mắt cá chân	ankle
ngày, lễ kỉ niệm	anniversary
báo, thông báo	announce
chọc tức, làm bực mình; làm phiền, quẫy nhiễu	annoy
chọc tức, làm bực mình; làm phiền, quẫy nhiễu	annoying
bị khó chịu, bực mình, bị quấy rầy	annoyed
hàng năm, từng năm	annual
hàng năm, từng năm	annually
