cẩn thận, kỹ lưỡng	thorough
kỹ lưỡng, thấu đáo, triệt để	thoroughly
dù, dù cho, mặc dù; mặc dù, tuy nhiên, tuy vậy	though
sự suy nghĩ, khả năng suy nghĩ; ý nghĩ, tư tưởng, tư duy	thought
chỉ, sợi chỉ, sợi dây	thread
sự đe dọa, lời đe dọa	threat
dọa, đe dọa	threaten
sự đe dọa, sự hăm dọa	threatening
cổ, cổ họng	throat
qua, xuyên qua	through
khắp, suốt	throughout
ném, vứt, quăng	throw
ngón tay cái	thumb
thứ 5	Thursday
như vậy, như thế, do đó	thus
vé	ticket
sạch sẽ, ngăn nắp, gọn gàng; làm cho sạch sẽ, gọn gàng, ngăn nắp	tidy
không gọn gàng, không ngăn nắp, lộn xộn	untidy
buộc, cột, trói; dây buộc, daay trói, dây giày	tie
kín, chặt, chật	tight
chặc chẽ, sít sao	tightly
cho đến khi, tới lúc mà	till
thời gian, thì giờ	time
kế hoạch làm việc, thời gian biểu	timetable
thiếc	tin
rất nhỏ, nhỏ xíu	tiny
đầu, mút, đỉnh, chóp; bịt đầu, lắp đầu vào	tip
) /´taiə/ làm mệt mỏi, trở nên mệt nhọc; lốp, vỏ xe	tire
sự mệt mỏi, sự mệt nhọc	tiring
mệt, muốn ngủ, nhàm chán	tired
đầu đề, tiêu đề; tước vị, tư cách	title
theo hướng, tới	to
vào ngày này; hôm nay, ngày nay	today
ngón chân (người)	toe
cùng nhau, cùng với	together
nhà vệ sinh; sự trang điểm (rửa mặt, ăn mặc, chải tóc...)	toilet
cà chua	tomato
vào ngày mai; ngày mai	tomorrow
tấn	ton
tiếng, giọng	tone
lưỡi	tongue
vào đêm nay, vào tối nay; đêm nay, tối nay	tonight
tấn	tonne
cũng	too
dụng cụ, đồ dùng	tool
răng	tooth
chóp, đỉnh; đứng đầu, trên hết	top
đề tài, chủ đề	topic
