(thuộc) tôn giáo	religious
tin vào, tin cậy, tin tưởng vào	rely
còn lại, vẫn còn như cũ	remain
còn lại	remaining
đồ thừa, cái còn lại	remains
sự nhận xét, phê bình, sự để ý, chú ý; nhận xét, phê bình, để ý, chú ý	remark
đáng chú ý, đáng để ý; khác thường	remarkable
đáng chú ý, đáng để ý; khác thường	remarkably
nhớ, nhớ lại	remember
nhắc nhở, gợi nhớ	remind
xa, xa xôi, xa cách	remote
viêc di chuyển, việc dọn nhà, dời đi	removal
dời đi, di chuyển	remove
sự thuê mướn; cho thuê, thuê	rent
được thuê, được mướn	rented
sửa chữa, chỉnh tu; sự sửa chữa, sự chỉnh tu	repair
/ri'pi:t/ nhắc lại, lặp lại	repeat
được nhắc lại, được lặp lại	repeated
lặp đi lặp lại nhiều lần	repeatedly
thay thế	replace
sự trả lời, sự hồi âm; trả lời, hồi âm	reply
báo cáo, tường trình; bản báo cáo, bản tường trình	report
miêu tả, hình dung; đại diện, thay mặt	represent
điều tiêu biểu, tượng trưng, mẫu; miêu tả, biểu hiện, đại diện, tượng trưng	representative
tái sản xuất	reproduce
sự nổi tiếng, nổi danh	reputation
lời thỉnh cầu, lời đề nghị, yêu cầu; thỉnh cầu, đề nghị, yêu cầu	request
đòi hỏi, yêu cầu, quy định	require
nhu cầu, sự đòi hỏi; luật lệ, thủ tục	requirement
giải thoát, cứu nguy; sự giải thoát, sự cứu nguy	rescue
sự nghiên cứu	research
sự hạn chế, điều kiện hạn chế	reservation
dự trữ, để dành, đặt trước, đăng ký trước; sự dự trữ, sự để dành, sự đặt trước, sự đăng ký trước	reserve
người sinh sống, trú ngụ, khách trọ; có nhà ở, cư trú, thường trú	resident
chống lại, phản đổi, kháng cự	resist
sự chống lại, sự phản đối, sự kháng cự	resistance
quyết định, kiên quyết (làm gì); giải quyết (vấn đề, khó khăn..)	resolve
kế sách, phương kế	resort
tài nguyên; kế sách, thủ đoạn	resource
sự kính trọng, sự lễ phép; tôn trọng, kính trọng, khâm phục	respect
hưởng ứng, phản ứng lại, trả lời	respond
sự trả lời, câu trả lời, sự hưởng ứng, sự đáp lại	response
trách nhiệm, sự chịu trách nhiệm	responsibility
chịu trách nhiệm về, chịu trách nhiệm trước ai, gì	responsible
sự nghỉ ngơi, lúc nghỉ; nghỉ, nghỉ ngơi	rest
nhà hàng ăn, hiệu ăn	restaurant
hoàn lại, trả lại; sửa chữa lại, phục hồi lại	restore
hạn chế, giới hạn	restrict
bị hạn chế, có giới hạn; vùng cấm	restricted
