đúng giờ	o’clock
tháng 10	October
kỳ quặc, kỳ cục, lẻ (số)	odd
kỳ quặc, kỳ cục, lẻ (số)	oddly
or /əv/ của	of
tắt; khỏi, cách, rời	off
sự vi phạm, sự phạm tội	offence
xúc phạm, làm bực mình, làm khó chịu	offend
sự tấn công, cuộc tấn công	offensive
biếu, tặng, cho; sự trả giá	offer
cơ quan, văn phòng, bộ	office
viên chức, cảnh sát, sĩ quan	officer
(thuộc) chính quyền, văn phòng; viên chức, công chức	official
một cách trịnh trọng, một cách chính thức	officially
thường, hay, luôn	often
chao, ôi chao, chà, này..	oh
dầu	oil
đồng ý, tán thành	OK
già	old
lỗi thời	old-fashioned
trên, ở trên; tiếp tục, tiếp diễn	on
một lần; khi mà, ngay khi, một khi	once
một; một người, một vật nào đó	one
củ hành	onion
chỉ có 1, duy nhất; chỉ, mới	only
về phía trên, lên trên	onto
mở, ngỏ; mở, bắt đầu, khai mạc	open
công khai, thẳng thắn	openly
khe hở, lỗ; sự bắt đầu, sự khai mạc, lễ khánh thành	opening
hoạt động, điều khiển	operate
sự hoạt động, quá trình hoạt động	operation
ý kiến, quan điểm	opinion
địch thủ, đối thủ, kẻ thù	opponent
cơ hội, thời cơ	opportunity
đối kháng, đối chọi, đối lập; chống đối, phản đối	oppose
tính đối kháng, đối chọi	opposing
chống lại, phản đối	opposed
đối nhau, ngược nhau; trước mặt, đối diện; điều trái ngược	opposite
sự đối lập, sự đối nhau; sự chống lại, sự phản đối; phe đối lập	opposition
sự lựa chọn	option
quả cam; có màu da cam	orange
thứ, bậc; ra lệnh	order
thường, thông thường	ordinary
đàn óoc gan	organ
tổ chức, cơ quan; sự tổ chức	organization
tổ chức, thiết lập	organize
có trật tự, ngăn nắp, được sắp xếp, được tổ chức	organized
gốc, nguồn gốc, căn nguyên	origin
