kỹ sư	engineer
nghề kỹ sư, công việc của kỹ sư	engineering
thưởng thức, thích thú cái gì, được hưởng, có được	enjoy
thú vị, thích thú	enjoyable
sự thích thú, sự có được, được hưởng	enjoyment
to lớn, khổng lồ	enormous
đủ	enough
sự điều tra, sự thẩm vấn	enquiry
bảo đảm, chắc chắn	ensure
đi vào, gia nhập	enter
giải trí, tiếp đón, chiêu đãi	entertain
giải trí	entertaining
người quản trò, người tiếp đãi, chiêu đãi	entertainer
sự giải trí, sự tiếp đãi, chiêu đãi	entertainment
sự hăng hái, sự nhiệt tình	enthusiasm
hăng hái, say mê, nhiệt tình	enthusiastic
toàn thể, toàn bộ	entire
toàn vẹn, trọn vẹn, toàn bộ	entirely
cho tiêu đề, cho tên (sách); cho quyền làm gì	entitle
sự đi vào, sự nhậm chức	entrance
sự ghi vào sổ sách, sự đi vào, sự tiếp nhận (pháp lý)	entry
phong bì	envelope
môi trường, hoàn cảnh xung quanh	environment
thuộc về môi trường	environmental
ngang, bằng; người ngang hàng, ngang tài, sức; bằng, ngang	equal
bằng nhau, ngang bằng	equally
trang, thiết bị	equipment
tương đương; từ, vật tương đương	equivalent
lỗi, sự sai sót, sai lầm	error
trốn thoát, thoát khỏi; sự trốn thoát, lỗi thoát	escape
đặc biệt là, nhất là	especially
bài tiểu luận	essay
bản chất, thực chất, cốt yếu; yếu tố cần thiết	essential
về bản chất, về cơ bản	essentially
lập, thành lập	establish
tài sản, di sản, bất động sản	estate
sự ước lượng, đánh giá; ước lượng, đánh giá	estimate
vân vân	etc.
đơn vị tiền tệ của liên minh châu Âu	euro
ngay cả, ngay, lại còn; bằng phẳng, điềm đạm, ngang bằng	even
buổi chiều, tối	evening
sự việc, sự kiện	event
cuối cùng	eventually
từng, từ trước tới giờ	ever
mỗi, mọi	every
mọi người	everyone
mọi vật, mọi thứ	everything
mọi nơi	everywhere
điều hiển nhiên, điều rõ ràng	evidence
xấu, ác; điều xấu, điều ác, điều tai hại	evil
