lý do, lý lẽ	reason
có lý, hợp lý	reasonable
hợp lý	reasonably
vô lý	unreasonable
gọi về, triệu hồi; nhặc lại, gợi lại	recall
công thức; đơn thuốc	receipt
nhận, lĩnh, thu	receive
gần đây, mới đây	recent
gần đây, mới đây	recently
sự nhận, sự tiếp nhận, sự đón tiếp	reception
tính, đếm	reckon
sự công nhận, sự thừa nhận	recognition
nhận ra, nhận diện; công nhận, thừa nhận	recognize
giới thiệu, tiến cử; đề nghị, khuyên bảo	recommend
bản ghi, sự ghi, bản thu, sự thu; thu, ghi chép	record
sự ghi, sự thu âm	recording
lấy lại, giành lại	recover
đỏ; màu đỏ	red
giảm, giảm bớt	reduce
sự giảm giá, sự hạ giá	reduction
xem, tham khảo; ám chỉ, nhắc đến	refer
sự tham khảo, hỏi ýe kiến	reference
phản chiếu, phản hồi, phản ánh	reflect
cải cách, cải thiện, cải tạo; sự cải cách, sự cải thiện, cải tạo	reform
tủ lạnh	refrigerator
sự từ chối, sự khước từ	refusal
từ chối, khước từ	refuse
nhìn, đánh giá; cái nhìn, sự quan tâm, sự chú ý (lời chúc tụng cuối thư)	regard
về, về việc, đối với (vấn đề...)	regarding
vùng, miền	region
vùng, địa phương	regional
đăng ký, ghi vào sổ; sổ, sổ sách, máy ghi	register
đáng tiếc, hối tiếc; lòng thương tiếc, sự hối tiếc	regret
thường xuyên, đều đặn	regular
đều đặn, thường xuyên	regularly
sự điều chỉnh, điều lệ, quy tắc	regulation
không chấp nhận, loại bỏ, bác bỏ	reject
kể lại, thuật lại; liên hệ, liên quan	relate
có liên quan, có quan hệ với ai, cái gì	related
mối quan hệ, sự liên quan, liên lạc	relation
mối quan hệ, mối liên lạc	relationship
có liên quan đến; người có họ, đại từ quan hệ	relative
có liên quan, có quan hệ	relatively
giải trí, nghỉ ngơi	relax
thanh thản, thoải mái	relaxed
làm giảm, bớt căng thẳng	relaxing
làm nhẹ, bớt, thả, phóng thích, phát hành; sự giải thoát, thoát khỏi, sự thả, phóng thích, sự phát hành	release
thích hợp, có liên quan	relevant
sự giảm nhẹ, sự làm cho khuây khỏa; sự trợ cấo; sự đền bù	relief
tôn giáo	religion
