sinh viên	student
xưởng phim, trường quay; phòng thu	studio
sự học tập, sự nghiên cứu; học tập, nghiên cứu	study
chất liệu, chất	stuff
ngu ngốc, ngu đần, ngớ ngẩn	stupid
phong cách, kiểu, mẫu, loại	style
chủ đề, đề tài; chủ ngữ	subject
chất liệu; bản chất; nội dung	substance
thực tế, đáng kể, quan trọng	substantial
về thực chất, về căn bản	substantially
người, vật thay thế; thay thế	substitute
nối tiếp, kế tiếp; kế nghiệp, kế vị	succeed
sự thành công,, sự thành đạt	success
thành công, thắng lợi, thành đạt	successful
thành công, thắng lợi, thành đạt	successfully
không thành công, thất bại	unsuccessful
như thế, như vậy, như là	such
bú, hút; hấp thụ, tiếp thu	suck
thình lình, đột ngột	sudden
thình lình, đột ngột	suddenly
chịu đựng, chịu thiệt hại, đau khổ	suffer
sự đau đớn, sự đau khổ	suffering
(+ for) đủ, thích đáng	sufficient
đủ, thích đáng	sufficiently
đường	sugar
đề nghị, đề xuất; gợi	suggest
sự đề nghị, sự đề xuất, sự khêu gợi	suggestion
bộ com lê, trang phục; thích hợp, quen, hợp với	suit
hợp, phù hợp, thích hợp với	suited
hợp, phù hợp, thích hợp với	suitable
va li	suitcase
tổng, toàn bộ	sum
bản tóm tắt	summary
mùa hè	summer
mặt trời	sun
Chủ nhật	Sunday
cao, chất lượng cao	superior
siêu thị	supermarket
sự cung cấp, nguồn cung cấp; cung cấp, đáp ứng, tiếp tế	supply
sự chống đỡ, sự ủng hộ; chống đỡ, ủng hộ	support
vật chống đỡ; người cổ vũ, người ủng hộ	supporter
cho rằng, tin rằng, nghĩ rằng	suppose
chắc chắn, xác thực	sure
chắc chắn	surely
mặt, bề mặt	surface
họ	surname
sự ngạc nhiên, sự bất ngờ; làm ngạc nhiên, gây bất ngờ	surprise
làm ngạc nhiên, làm bất ngờ	surprising
làm ngạc nhiên, làm bất ngờ	surprisingly
ngạc nhiên (+ at)	surprised
vây quanh, bao quanh	surround
sự vây quanh, sự bao quanh	surrounding
vùng xung quanh, môi trường xung quanh	surroundings
sự nhìn chung, sự khảo sát; quan sát, nhìn chung, khảo sát, nghiên cứu	survey
sống lâu hơn, tiếp tục sống, sống sót	survive
nghi ngờ, hoài nghi; người khả nghi, người bị tình nghi	suspect
sự nghi ngờ, sự ngờ vực	suspicion
có sự nghi ngờ, tỏ ra nghi ngờ, khả nghi	suspicious
nuốt, nuốt chửng	swallow
chửi rủa, nguyền rủa; thề, hứa	swear
lời thề, lời nguyền rủa, lời thề hứa	swearing
mồ hôi; đổ mồ hôi	sweat
người ra mồ hôi,, kẻ bóc lột lao động	sweater
quét	sweep
ngọt, có vị ngọt; sự ngọt bùi, đồ ngọt	sweet
phồng, sưng lên	swell
sự sưng lên, sự phồng ra	swelling
sưng phồng, phình căng	swollen
bơi lội	swim
sự bơi lội	swimming
bể nước	swimming
sự đu đưa, lúc lắc; đánh đu, đu đưa, lúc lắc	swing
công tắc, roi; tắt, bật, đánh bằng gậy, roi	switch
/swel/ phồng lên, sưng lên	swollen
biểu tượng, ký hiệu	symbol
đồng cảm, đáng mến, dễ thương	sympathetic
sự đồng cảm, sự đồng ý	sympathy
hệ thống, chế độ	system
cái bàn	table
tấm, bản, thẻ phiến	tablet
or /'teikl/ giải quyết, khắc phục, bàn thảo; đồ dùng, dụng cụ	tackle
đuôi, đoạn cuối	tail
sự cầm nắm, sự lấy	take
nói chuyện, trò chuyện; cuộc trò chuyện, cuộc thảo luận	talk
cao	tall
thùng, két, bể	tank
mở vòi, đóng vồi; vòi, khóa	tap
băng, băng ghi âm; dải, dây	tape
bia, mục tiêu, đích	target
nhiệm vụ, nghĩa vụ, bài tập, công tác, công việc	task
vị, vị giác; nếm	taste
thuế; đánh thuế	tax
xe tắc xi	taxi
cây chè, trà, chè	tea
dạy	teach
sự dạy, công việc dạy học	teaching
giáo viên	teacher
đội, nhóm	team
xé, làm rắch; chỗ rách, miếng xe; nước mắt	tear
(thuộc) kỹ thuật, chuyên môn	technical
kỹ sảo, kỹ thuật, phương pháp kỹ thuật	technique
kỹ thuật học, công nghệ học	technology
máy điện thoại, gọi điện thoại	telephone
vô tuyến truyền hình	television
nói, nói với	tell
nhiệt độ	temperature
tạm thời, nhất thời	temporary
tạm	temporarily
trông nom, chăm sóc, giữ gìn, hầu hạ	tend
xu hướng, chiều hướng, khuynh hướng	tendency
sự căng, độ căng, tình trạng căng	tension
lều, rạp	tent
giới hạn, kỳ hạn, khóa, kỳ học	term
khủng khiếp, ghê sợ	terrible
tồi tệ, không chịu nổi	terribly
bài kiểm tra, sự thử nghiệm, xét nghiệm; kiểm tra, xét nghiệm, thử nghiệm	test
nguyên văn, bản văn, chủ đề, đề tì	text
hơn	than
cám ơn	thank
sự cảm ơn, lời cảm ơn	thanks
cảm ơn bạn (ông bà, anh chị...)	thank
người ấy, đó, vật ấy, đó; rằng, là	that
cái, con, người, ấy này....	the
rạp hát, nhà hát	theatre
của chúng, của chúng nó, của họ	their
của chúng, của chúng nó, của họ	theirs
chúng, chúng nó, họ	them
đề tài, chủ đề	theme
tự chúng, tự họ, tự	themselves
khi đó, lúc đó, tiếp đó	then
lý thuyết, học thuyết	theory
ở nơi đó, tại nơi đó	there
bởi vậy, cho nên, vì thế	therefore
chúng, chúng nó, họ; những cái ấy	they
dày; đậm	thick
dày; dày đặc; thành lớp dày	thickly
