thứ 3	Tuesday
điệu, giai điệu; lên dây, so dây (đàn)	tune
đường hầm, hang	tunnel
quay, xoay, vặn; sự quay, vòng quay	turn
hai lần	twice
sinh đôi, tạo thành cặp; cặp song sinh	twin
xoắn, cuộn, quắn; sự xoắn, vòng xoắn	twist
được xoắn, được cuộn	twisted
loại, kiểu, mẫu; phân loại, xếp loại	type
tiêu biểu, điển hình, đặc trưng	typical
điển hình, tiêu biểu	typically
lốp, vỏ xe	tyre
xấu xí, xấu xa	ugly
cuối cùng, sau cùng	ultimate
cuối cùng, sau cùng	ultimately
ô, dù	umbrella
không thể, không có khẳ năng (# có thể)	unable
không thể chấp nhận	unacceptable
không chắc chắn, khôn biết rõ ràng	uncertain
chú, bác	uncle
bất tiện, không tiện lợi	uncomfortable
bất tỉnh, ngất đi	unconscious
không bị kiềm chế, không bị kiểm tra	uncontrolled
dưới, ở dưới; ở phía dưới, về phía dưới	under
dưới mặt đất, ngầm dưới đất; ngầm	underground
dưới, bên dưới	underneath
hiểu, nhận thức	understand
trí tuệ, sự hiểu biết	understanding
ở dưới mặt nước, dưới mặt nước	underwater
quần lót	underwear
tháo, gỡ, xóa, hủy bỏ	undo
không dùng, thất nghiệp	unemployed
sự thất nghiệp, tình trạng thất nghiệp	unemployment
bất ngờ, đột ngột, gây ngạc nhiên	unexpected,
không đúng, không công bằng, gian lận	unfair,
không may, rủi ro, bất hạnh	unfortunate
một cách đáng tiếc, một cách không may	unfortunately
đối địch, không thân thiện	unfriendly
sự buồn, nỗi buồn	unhappiness
buồn rầu, khổ sở	unhappy
đồng phục; đều, giống nhau, đồng dạng	uniform
không quan trọng	unimportant
liên hiệp, sự đoàn kết, sự hiệp nhất	union
độc nhất vô nhị	unique
đơn vị	unit
liên kết, hợp nhất, hợp lại, kết thân	unite
liên minh, đoàn kết, chung, thống nhất	united
vũ trụ	universe
trường đại học	university
