tin, tin tức	news
báo	newspaper
sát, gần, bên cạnh; lần sau, tiếp nữa	next
gần	next
đẹp, thú vị, dễ chịu	nice
thú vị, dễ chịu	nicely
cháu gái	niece
đêm, tối	night
không	no
không ai, không người nào	nobody
tiếng ồn, sự huyên náo	noise
ồn ào, huyên náo	noisy
ồn ào, huyên náo	noisily
không ai, không người, vật gì	none
lời nói vô lý, vô nghĩa	nonsense
cũng không	nor
thường, bình thường; tình trạng bình thường	normal
thông thường, như thường lệ	normally
phía bắc, phương bắc	north
Bắc	northern
mũi	nose
không	not
lời ghi, lời ghi chép; ghi chú, ghi chép	note
không gì, không cái gì	nothing
thông báo, yết thị; chú ý, để ý, nhận biết	notice
đáng chú ý, đáng để ý	noticeable
tiểu thuyết, truyện	novel
tháng 11	November
bây giờ, hiện giờ, hiện nay	now
không nơi nào, không ở đâu	nowhere
(thuộc) hạt nhân	nuclear
số	number
y tá	nurse
quả hạch; đầu	nut
vâng lời, tuân theo, tuân lệnh	obey
vật, vật thể; phản đối, chống lại	object
mục tiêu, mục đích; (thuộc) mục tiêu, khách quan	objective
sự quan sát, sự theo dõi	observation
quan sát, theo dõi	observe
đạt được, giành được	obtain
rõ ràng, rành mạch, hiển nhiên	obvious
một cách rõ ràng, có thể thấy được	obviously
dịp, cơ hội	occasion
thỉnh thoảng, đôi khi	occasionally
giữ, chiếm lĩnh, chiếm giữ	occupy
đang sử dụng, đầy (người)	occupied
xảy ra, xảy đến, xuất hiện	occur
đại dương	ocean
