tháng 5	May
có thể, có lẽ	maybe
thị trưởng	mayor
tôi, tao, tớ	me
bữa ăn	meal
nghĩa, có nghĩa là	mean
ý, ý nghĩa	meaning
của cải, tài sản, phương tiện	means
trong lúc đó, trong lúc ấy	meanwhile
đo, đo lường; sự đo lường, đơn vị đo lường	measure
sự đo lường, phép đo	measurement
thịt	meat
phương tiện truyền thông đại chúng	media
(thuộc) y học	medical
y học, y khoa; thuốc	medicine
trung bình, trung, vừa; sự trung gian, sự môi giới	medium
gặp, gặp gỡ	meet
cuộc mít tinh, cuộc biểu tình	meeting
tan ra, chảy ra; làm tan chảy ra	melt
thành viên, hội viên	member
tư cách hội viên, địa vị hội viên	membership
bộ nhớ, trí nhớ, kỉ niệm	memory
(thuộc) trí tuệ, trí óc; mất trí	mental
về mặt tinh thần	mentally
kể ra, nói đến, đề cập	mention
thực đơn	menu
chỉ là	mere
chỉ, đơn thuần	merely
tình trạng bừa bộn, tình trạng lộn xộn; người nhếch nhác, bẩn thỉu	mess
tin nhắn, thư tín, điện thông báo, thông điệp	message
kim loại	metal
phương pháp, cách thức	method
mét	metre
trưa, buổi trưa	midday
giữa, ở giữa	middle
nửa đêm, 12h đêm	midnight
qk. may có thể, có lẽ	might
nhẹ, êm dịu, ôn hòa	mild
dặm (đo lường)	mile
(thuộc) quân đội, quân sự	military
sữa	milk
mi-li-gam	milligram
mi-li-met	millimetre
tâm trí, tinh thần, trí tuệ; chú ý, để ý, chăm sóc, quan tâm	mind
của tôi	mine
công nhân, thợ mỏ; khoáng	mineral
tối thiểu; số lượng tối thiểu, mức tối thiểu	minimum
