mặt, mặt phẳng	side
ngang, từ một bên; sang bên	sideways
cảnh đẹp; sự nhìn	sight
dấu, dấu hiệu, kí hiệu; đánh dấu, viết ký hiệu	sign
dấu hiệu, tín hiệu; ra hiệu, báo hiệu	signal
chữ ký	signature
nhiều ý nghĩa, quan trọng	significant
đáng kể	significantly
sự im lặng, sự yên tĩnh	silence
im lặng, yên tĩnh	silent
tơ (t.n+n.tạo), chỉ, lụa	silk
ngớ ngẩn, ngu ngốc, khờ dại	silly
bạc, đồng bạc; làm bằng bạc, trắng như bạc	silver
giống như, tương tự như	similar
tương tự, giống nhau	similarly
đơn, đơn giản, dễ dàng	simple
một cách dễ dàng, giản dị	simply
từ, từ khi; từ khi, từ lúc đó; từ đó, từ lúc ấy	since
thật thà, thẳng thắng, chân thành	sincere
một cách chân thành	sincerely
(viết ở cuối thư)	Yours
hát, ca hát	sing
sự hát, tiếng hát	singing
ca sĩ	singer
đơn, đơn độc, đơn lẻ	single
chìm, lún, đắm	sink
xưng hô lịch sự Ngài, Ông	sir
chị, em gái	sister
ngồi	sit
chỗ, vị trí	site
hoàn cảnh, địa thế, vị trí	situation
cỡ	size
đã được định cỡ	-sized
tài giỏi, khéo tay	skilful
tài giỏi, khéo tay	skilfully
kỹ năng, kỹ sảo	skill
có kỹ năng, có kỹ sảo, khẻo tay; có kinh nghiệm,, lành nghề	skilled
da, vỏ	skin
váy, đầm	skirt
trời, bầu trời	sky
ngủ; giấc ngủ	sleep
tay áo, ống tay	sleeve
miếng, lát mỏng; cắt ra thành miếng mỏng, lát mỏng	slice
trượtc, chuyển động nhẹ, lướt qua	slide
mỏng manh, thon, gầy	slight
mảnh khảnh, mỏng manh, yếu ớt	slightly
trượt, tuột, trôi qua, chạy qua	slip
