vi	en
bỏ, từ bỏ	abandon
bị bỏ rơi, bị ruồng bỏ	abandoned
khả năng, năng lực	ability
có năng lực, có tài	able
không có năng lực, không có tài	unable
khoảng, về	about
ở trên, lên trên	above
ở, ra nước ngoài, ngoài trời	abroad
sự vắng mặt	absence
vắng mặt, nghỉ	absent
tuyệt đối, hoàn toàn	absolute
tuyệt đối, hoàn toàn	absolutely
thu hút, hấp thu, lôi cuốn	absorb
lộng hành, lạm dụng	abuse
thuộc học viện, ĐH, viện hàn lâm	academic
trọng âm, dấu trọng âm	accent
chấp nhận, chấp thuận	accept
có thể chấp nhận, chấp thuận	acceptable
	unacceptable
lối, cửa, đường vào	access
tai nạn, rủi ro	accident
tình cờ, bất ngờ	accidental
tình cờ, ngẫu nhiên	accidentally
sự thích nghi, điều tiết	accommodation
đi theo, đi cùng, kèm theo	accompany
theo, y theo	according
tài khoản, kế toán; tính toán, tính đến	account
đúng đắn, chính xác, xác đáng	accurate
đúng đắn, chính xác	accurately
tố cáo, buộc tội, kết tội	accuse
đạt được, dành được	achieve
thành tích, thành tựu	achievement
axit	acid
công nhận, thừa nhận	acknowledge
dành được, đạt được, kiếm được	acquire
qua, ngang qua	across
hành động, hành vi, cử chỉ, đối xử	act
hành động, hành vi, tác động	action
tích cực hoạt động, nhanh nhẹn	active
	actively
	activity
/'æktris/ diễn viên	actor,
thực tế, có thật	actual
hiện nay, hiện tại	actually
quảng cáo	advertisement
tra, lắp vào	adapt
cộng, thêm vào	add
tính cộng, phép cộng	addition
thêm vào, tăng thêm	additional
địa chỉ, đề địa chỉ	address
đầy, đầy đủ	adequate
tương xứng, thỏa đáng	adequately
sửa lại cho đúng, điều chỉnh	adjust
sự khâm phục,người kp, thán phục	admiration
khâm phục, thán phục	admire
nhận vào, cho vào, kết hợp	admit
nhận làm con nuôi, bố mẹ nuôi	adopt
người lớn, người trưởng thành; trưởng thành	adult
sự tiến bộ, tiến lên; đưa lên, đề xuất	advance
tiên tiến, tiến bộ, cấp cao	advanced
sự thuận lợi, lợi ích, lợi thế	advantage
sự phiêu lưu, mạo hiểm	adventure
báo cho biết, báo cho biết trước	advertise
sự quảng cáo, nghề quảng cáo	advertising
	advertisement
lời khuyên, lời chỉ bảo	advice
khuyên, khuyên bảo, răn bảo	advise
việc	affair
làm ảnh hưởng, tác động đến	affect
	affection
có thể, có đủ khả năng, điều kiện (làm gì)	afford
sợ, sợ hãi, hoảng sợ	afraid
sau, đằng sau, sau khi	after
buổi chiều	afternoon
sau này, về sau, rồi thì, sau đấy	afterwards
lại, nữa, lần nữa	again
chống lại, phản đối	against
tuổi	age
già đi (v)	aged
tác dụng, lực; môi giới, trung gian	agency
đại lý, tác nhân	agent
xâm lược, hung hăng (US: xông xáo)	aggressive
trước đây	ago
đồng ý, tán thành	agree
sự đồng ý, tán thành; hiệp định, hợp đồng	agreement
trước, về phía trước	ahead
sự giúp đỡ; thêm vào, phụ vào	aid
sự nhắm (bắn), mục tiêu, ý định; nhắm, tập trung, hướng vào	aim
không khí, bầu không khí, không gian	air
máy bay, khí cầu	aircraft
sân bay, phi trường	airport
báo động, báo nguy	alarm
làm lo sợ, làm hốt hoảng, làm sợ hãi	alarming
	alarmed
rượu cồn	alcohol
rượu; người nghiện rượu	alcoholic
sống, vẫn còn sống, còn tồn tại	alive
tất cả	all
cho phép, để cho	allow
tốt, ổn, khỏe mạnh; được	all
nước đồng minh, liên minh; liên kết, lien minh, kết thông gia	ally
lien minh, đồng minh, thông gia	allied
hầu như, gần như	almost
cô đơn, một mình	alone
dọc theo, theo; theo chiều dài, suốt theo	along
sát cạnh, kế bên, dọc theo	alongside
lớn tiếng, to tiếng	aloud
bảng chữ cái, bước đầu, điều cơ bản	alphabet
thuộc bảng chứ cái	alphabetical
theo thứ tự abc	alphabetically
đã, rồi, đã… rồi	already
cũng, cũng vậy, cũng thế	also
thay đổi, biến đổi, sửa đổi	alter
sự lựa chọn; lựa chọn	alternative
như một sự lựa chọn	alternatively
mặc dù, dẫu cho	although
hoàn toàn, hầu như; nói chung	altogether
luôn luôn	always
làm ngạc nhiên, làm sửng sốt	amaze
kinh ngạc, sửng sốt	amazing
kinh ngạc, sửng sốt	amazed
hoài bão, khát vọng	ambition
xe cứu thương, xe cấp cứu	ambulance
giữa, ở giữa	among
số lượng, số nhiều; lên tới (money)	amount
làm cho vui, thích, làm buồn cười	amuse
vui thích	amusing
vui thích	amused
phân tích	analyse
sự phân tích	analysis
xưa, cổ	ancient
và	and
sự tức giận, sự giận dữ	anger
góc	angle
giận, tức giận	angry
tức giận, giận dữ	angrily
động vật, thú vật	animal
mắt cá chân	ankle
ngày, lễ kỉ niệm	anniversary
báo, thông báo	announce
chọc tức, làm bực mình; làm phiền, quẫy nhiễu	annoy
chọc tức, làm bực mình; làm phiền, quẫy nhiễu	annoying
bị khó chịu, bực mình, bị quấy rầy	annoyed
hàng năm, từng năm	annual
hàng năm, từng năm	annually
khác	another
sự trả lời; trả lời	answer
thấy trước, chặn trước, lường trước	anticipate
mối lo âu, sự lo lắng	anxiety
lo âu, lo lắng, băn khoăn	anxious
lo âu, lo lắng, băn khoăn	anxiously
một người, vật nào đó; bất cứ; một chút nào, tí nào	any
người nào, bất cứ ai	anyone
việc gì, vật gì; bất cứ việc gì, vật gì	anything
thế nào cũng được, dù sao chăng nữa	anyway
bất cứ chỗ nào, bất cứ nơi đâu	anywhere
về một bên, qua một bên	apart
ngoài…ra	apart
căn phòng, căn buồng	apartment
xin lỗi, tạ lỗi	apologize
rõ ràng, rành mạch; bề ngoài, có vẻ	apparent
nhìn bên ngoài, hình như	apparently
sự kêu gọi, lời kêu gọi; kêu gọi, cầu khẩn	appeal
xuất hiện, hiện ra, trình diện	appear
sự xuất hiện, sự trình diện	appearance
quả táo	apple
sự gắn vào, vật gắn vào; sự chuyên cần, chuyên tâm	application
gắn vào, ghép vào, áp dụng vào	apply
bổ nhiệm, chỉ định, chọn	appoint
sự bổ nhiệm, người được bổ nhiệm	appointment
thấy rõ; nhận thức	appreciate
đến gần, lại gần; sự đến gần, sự lại gần	approach
thích hợp, thích đáng	appropriate
