lớp học, phòng học	classroom
sạch, sạch sẽ;	clean
lau chùi, quét dọn	clear
rõ ràng, sáng sủa	clearly
thư ký, linh mục, mục sư	clerk
lanh lợi, thông minh. tài giỏi, khéo léo	clever
làm thành tiếng lách cách; tiếng lách cách, cú nhắp (chuột)	click
khách hàng	client
khí hậu, thời tiết	climate
leo, trèo	climb
sự leo trèo	climbing
đồng hồ	clock
đóng kín, chật chội, che đậy	close
chặt chẽ, kỹ lưỡng, tỉ mỉ	closely
đóng, khép, kết thúc, chấm dứt	close
bảo thủ, không cởi mở, khép kín	closed
buồng, phòng để đồ, phòng kho	closet
vải, khăn trải bàn, áo thầy tu	cloth
quần áo	clothes
quần áo, y phục	clothing
mây, đám mây	cloud
câu lạc bộ; gậy, dùi cui	club
xen ti mét	centimetre
huấn luyện viên	coach
than đá	coal
sự lao dốc; bờ biển	coast
áo choàng	coat
mật mã, luật, điều lệ	code
cà phê	coffee
tiền kim loại	coin
lạnh, sự lạnh lẽo, lạnh nhạt	cold
lạnh nhạt, hờ hững, vô tâm	coldly
đổ, sụp đổ; sự đổ nát, sự sụp đổ	collapse
bạn đồng nghiệp	colleague
sưu tập, tập trung lại	collect
sự sưu tập, sự tụ họp	collection
trường cao đẳng, trường đại học	college
màu sắc; tô màu	colour
mang màu sắc, có màu sắc	coloured
cột , mục (báo)	column
sự kết hợp, sự phối hợp	combination
kết hợp, phối hợp	combine
đến, tới, đi đến, đi tới	come
hài kịch	comedy
sự an ủi, khuyên giải, lời động viên, sự an nhàn; dỗ dành, an ủi	comfort
thoải mái, tiện nghi, đầy đủ	comfortable
dễ chịu, thoải mái, tiện nghi, ấm cúng	comfortably
bất tiện, khó chịu, không thoải mái	uncomfortable
ra lệnh, chỉ huy; lệnh, mệnh lệnh, quyền ra lệnh, quyền chỉ huy	command
lời bình luận, lời chú giải; bình luận, phê bình, chú thích, dẫn giải	comment
