đĩa	disc
kỷ luật	discipline
sự bớt giá, sự chiết khấu, tiền bớt, chiết khấu	discount
khám phá, phát hiện ra, nhận ra	discover
sự khám phá, sự tìm ra, sự phát hiện ra	discovery
thảo luận, tranh luận	discuss
sự thảo luận, sự tranh luận	discussion
căn bệnh, bệnh tật	disease
làm ghê tởm, làm kinh tởm, làm phẫn nộ	disgust
làm ghê tởm, kinh tởm	disgusting
chán ghét, phẫn nộ	disgusted
đĩa (đựng thức ăn)	dish
bất lương, không thành thật	dishonest
bất lương, không lương thiện	dishonestly
đĩa, đĩa hát	disk
sự không ưa, không thích, sự ghét	dislike
giải tán (quân đội, đám đông); sa thải (người làm)	dismiss
bày tỏ, phô trương, trưng bày; sự bày ra, phô bày, trưng bày	display
tan rã, phân hủy, giải tán	dissolve
khoảng cách, tầm xa	distance
phân biệt, nhận ra, nghe ra	distinguish
phân bổ, phân phối, sắp xếp, phân loại	distribute
sự phân bổ, sự phân phối, phân phát, sự sắp xếp	distribution
huyện, quận	district
làm mất yên tĩnh, làm náo động, quấy rầy	disturb
xáo trộn	disturbing
chia, chia ra, phân ra	divide
sự chia, sự phân chia, sự phân loại	division
sự ly dị	divorce
đã ly dị	divorced
làm	do
tháo, gỡ; xóa bỏ, hủy bỏ	undo
bác sĩ y khoa, tiến sĩ	doctor
văn kiện, tài liệu, tư liệu	document
chó	dog
đô la Mỹ	dollar
vật nuôi trong nhà, (thuộc) nội trợ, quốc nội	domestic
chiếm ưu thế, có ảnh hưởng, chi phối; kiềm chế	dominate
cửa, cửa ra vào	door
chấm nhỏ, điểm; của hồi môn	dot
đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi	double
sự nghi ngờ, sự ngờ vực; nghi ngờ, ngờ vực	doubt
xuống	down
ở dưới nhà, ở tầng dưới; xống gác; tầng dưới	downstairs
xuống, đi xuống	downwards
xuống, đi xuống	downward
tá (12)	dozen
bản phác thảo, sơ đồ thiết kế; phác thảo, thiết kế	draft
lôi kéo, kéo lê	drag
kịch, tuồng	drama
