đường, đường đi	way
chúng tôi, chúng ta	we
yếu, yếu ớt	weak
tình trạng yếu đuối, yếu ớt	weakness
sự giàu có, sự giàu sang	wealth
vũ khí	weapon
mặc, mang, đeo	wear
thời tiết	weather
mạng, lưới	web
không gian liên tới với Internet	website
lễ cưới, hôn lễ	wedding
thứ 4	Wednesday
tuần, tuần lễ	week
cuối tuần	weekend
mỗi tuần một lần, hàng tuần	weekly
cân, cân nặng	weigh
trọng lượng	weight
chào mừng, hoan nghênh	welcome
tốt, giỏi; ôi, may quá!	well
phía Tây, theo phía tây, về hướng tây	west
về phía tây, của phía tây	western
ướt, ẩm ướt	wet
gì, thế nào	what
bất cứ thứ gì, bất kể thứ gì	whatever
bánh xe	wheel
khi, lúc, vào lúc nào	when
bất cứ lúc nào, lúc nào	whenever
đâu, ở đâu; nơi mà	where
nhưng ngược lại, trong khi	whereas
ở bất cứ nơi nào, ở bất cứ nơi đâu	wherever
có..không; có... chăng; không biết có.. không	whether
nào, bất cứ.. nào; ấy, đó	which
trong lúc, trong khi; lúc, chốc, lát	while
trong lúc, trong khi	whilst
nói thì thầm, xì xào; tiếng nói thì thầm, tiếng xì xào	whisper
sự huýt sáo, sự thổi còi; huýt sáo, thổi còi	whistle
trắng; màu trắng	white
ai, người nào, kẻ nào, người như thế nào	who
ai, người nào, bất cứ ai, bất cứ người nào, dù ai	whoever
bình an vô sự, không suy suyển, không hư hỏng; toàn bộ, tất cả, toàn thể	whole
ai, người nào; người mà	whom
của ai	whose
tại sao, vì sao	why
rộng, rộng lớn	wide
nhiều, xa; rộng rãi	widely
tính chất rộng, bề rộng	width
vợ	wife
