khoảng trống, khoảng cách	space
thừa thãi, dự trữ, rộng rãi; đồ dự trữ, đồ dự phòng	spare
nói	speak
nói theo 1 cách nào đó	spoken
người nói, người diễn thuyết	speaker
đặc biệt, riêng biệt	special
đặc biệt, riêng biệt	specially
chuyên gia, chuyên viên	specialist
đặc trưng, riêng biệt	specific
đặc trưng, riêng biệt	specifically
sự nói, khả năng nói, lời nói, cách nói, bài nói	speech
tốc độ, vận tốc	speed
đánh vần; sự thu hút, sự quyến rũ, say mê	spell
sự viết chính tả	spelling
tiêu, xài	spend
gia vị	spice
có gia vị	spicy
con nhện	spider
quay, quay tròn	spin
tinh thần, tâm hồn, linh hồn	spirit
(thuộc) tinh thần, linh hồn	spiritual
sự giận, sự hận thù; in spite of : mặc dù, bất chấp	spite
chẻ, tách, chia ra; sự chẻ, sự tách, sự chia ra	split
cướp, cướp đọat	spoil
cái thìa	spoon
thể thao	sport
dấu, đốm, vết	spot
máy, ống, bình phụt, bơm, phun; bơm, phun, xịt	spray
trải, căng ra, bày ra; truyền bá	spread
mùa xuân	spring
vuông, vuông vắn; dạng hình vuông, hình vuông	square
ép, vắt, xiết; sự ép, sự vắt, sự xiết	squeeze
ổn định, bình tĩnh, vững vàng; chuồng ngưa	stable
gậy	staff
tầng, bệ	stage
bậc thang	stair
tem; dán tem	stamp
đứng, sự đứng	stand
tiêu chuẩn, chuẩn, mãu; làm tiêu chuẩn, phù hợp với tiêu chuẩn	standard
ngôi sao, dán sao, trang trí hình sao, đánh dấu sao	star
nhìm chằm chằm; sự nhìn chằm chằm	stare
bắt đầu, khởi động; sự bắt đầu, sự khởi đầu, khởi hành	start
nhà nước, quốc gia, chính quyền; (thuộc) nhà nước, có liên quan đến nhà nước; phát biểu, tuyên bố	state
sự bày tỏ, sự phát biểu; sự tuyên bố, sự trình bày	statement
trạm, điểm, đồn	station
tượng	statue
tình trạng	status
ở lại, lưu lại; sự ở lại, sự lưu lại	stay
vững chắc, vững vàng, kiến định	steady
